rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,avg_snap_pct,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
1,George Kittle,SF,15,236.6,15.77,94,78,1106.0,8,0.20740293,0.20494045,0.4545627,1.4912612,8.51,0.83,11.77,0.866,19,25.0,11,30.6
2,Brock Bowers,LV,17,262.7,15.45,153,112,1194.0,5,0.2553618,0.23186089,0.5453453,1.3838885,6.03,0.732,7.8,0.8494117647058823,14,25.0,8,28.6
3,Trey McBride,ARI,16,243.8,15.24,147,111,1146.0,2,0.28644907,0.26641583,0.6161647,1.3704927,6.14,0.755,7.8,0.898125,20,32.8,13,43.3
4,David Njoku,CLE,11,148.5,13.5,97,64,505.0,5,0.2272459,0.14967912,0.44564426,1.311316,5.26,0.66,5.21,0.7490909090909091,12,21.1,10,37.0
5,Jonnu Smith,MIA,17,222.3,13.08,111,88,884.0,8,0.19332588,0.14788732,0.39350992,2.9740837,4.88,0.793,7.96,0.5488235294117647,18,21.7,13,32.5
6,Taysom Hill,NO,8,102.34,12.79,31,23,187.0,0,0.15601398,0.06886058,0.2822234,1.4361904,3.48,0.742,6.03,0.425,0,,0,
7,Travis Kelce,KC,16,195.4,12.21,133,97,823.0,3,0.23339808,0.2521069,0.526572,0.9232211,6.64,0.729,6.19,0.845625,25,26.0,9,19.6
8,Mark Andrews,BAL,17,188.8,11.11,69,55,673.0,11,0.14962055,0.18020026,0.350571,1.0581034,10.59,0.797,9.75,0.6111764705882353,15,24.6,6,20.0
9,Sam LaPorta,DET,16,174.6,10.91,83,60,726.0,7,0.17515357,0.1778594,0.38723192,2.349821,6.99,0.723,8.75,0.84875,17,19.1,9,22.0
10,Zach Ertz,WAS,17,177.4,10.44,91,66,654.0,7,0.17863199,0.18188913,0.39527038,1.1175058,7.54,0.725,7.19,0.6688235294117648,21,30.9,10,31.3
11,Dallas Goedert,PHI,10,103.6,10.36,52,42,496.0,2,0.19282226,0.17245814,0.40995407,1.047817,6.6,0.808,9.54,0.65,9,16.7,3,13.0
12,Cade Otton,TB,14,140.6,10.04,87,59,600.0,4,0.18437079,0.15841353,0.38744566,1.5555278,5.41,0.678,6.9,0.9285714285714286,14,18.2,8,16.7
13,Evan Engram,JAX,9,89.5,9.94,64,47,365.0,1,0.25460875,0.16304117,0.49604192,1.2896013,5.62,0.734,5.7,0.7200000000000001,3,5.1,0,0.0
14,Pat Freiermuth,PIT,17,168.3,9.9,78,65,653.0,7,0.16949382,0.1410428,0.3529707,1.614959,6.12,0.833,8.37,0.6929411764705882,12,21.1,4,16.0
15,Tucker Kraft,GB,17,163.3,9.61,70,50,707.0,7,0.15100501,0.090419255,0.289801,4.457424,5.34,0.714,10.1,0.8576470588235294,15,21.1,3,12.0
16,Hunter Henry,NE,16,145.4,9.09,97,66,674.0,2,0.20363374,0.19603331,0.44267392,1.0967027,7.03,0.68,6.95,0.80625,16,29.1,10,41.7
17,Tyler Higbee,LA,3,26.6,8.87,12,8,66.0,2,0.12913534,0.06728282,0.24080098,2.2301586,2.17,0.667,5.5,0.3266666666666666,5,6.7,3,7.7
18,Mike Gesicki,CIN,16,141.5,8.84,83,65,665.0,2,0.13174583,0.14537024,0.29937792,0.8560625,7.41,0.783,8.01,0.4476470588235294,10,8.6,3,4.6
19,T.J. Hockenson,MIN,10,86.5,8.65,62,41,455.0,0,0.18131909,0.18363087,0.40052024,0.91980344,8.39,0.661,7.34,0.615,8,9.2,1,2.3
20,Cole Kmet,CHI,14,120.4,8.6,55,47,474.0,4,0.11758721,0.112455845,0.2550999,1.2871591,7.15,0.855,8.62,0.8723529411764706,8,11.8,5,20.8
21,Isaiah Likely,BAL,15,123.7,8.25,58,42,477.0,6,0.13319418,0.12995315,0.2907585,4.187264,8.05,0.724,8.22,0.59375,13,21.3,8,26.7
22,Juwan Johnson,NO,15,122.8,8.19,66,50,548.0,3,0.13598153,0.14361665,0.30450395,1.268352,8.29,0.758,8.3,0.6417647058823529,6,15.4,2,14.3
23,Dalton Kincaid,BUF,13,100.8,7.75,75,44,448.0,2,0.20194748,0.1830284,0.43104112,1.4458556,7.64,0.587,5.97,0.5700000000000001,10,17.2,4,14.3
