team,games,pass_rate,run_rate,rz_attempts,rz_conv_pct,third_down_pct
ARI,17,55.5,44.5,157,20.4,43.2
ATL,17,54.9,45.1,158,18.4,39.6
BAL,17,47.9,52.1,163,30.7,48.7
BUF,17,53.1,46.9,192,25.0,44.9
CAR,17,59.3,40.7,159,19.5,36.0
CHI,17,60.4,39.6,142,16.2,33.3
CIN,17,65.6,34.4,209,18.7,46.7
CLE,17,65.5,34.5,130,13.8,29.5
DAL,17,61.6,38.4,141,16.3,37.0
DEN,17,57.2,42.8,156,23.1,39.9
DET,17,53.0,47.0,225,22.7,48.0
GB,17,49.4,50.6,188,22.3,39.3
HOU,17,59.6,40.4,172,16.3,37.8
IND,17,52.7,47.3,177,15.8,38.1
JAX,17,58.9,41.1,147,18.4,37.3
KC,17,60.0,40.0,194,18.0,49.3
LA,17,57.6,42.4,182,18.1,37.8
LAC,17,55.5,44.5,151,17.9,41.0
LV,17,64.8,35.2,149,15.4,35.1
MIA,17,59.0,41.0,172,17.4,36.7
MIN,17,58.0,42.0,172,19.8,40.2
NE,17,57.1,42.9,153,13.7,35.0
NO,17,57.6,42.4,120,20.8,35.3
NYG,17,60.9,39.1,123,16.3,35.7
NYJ,17,64.4,35.6,150,20.7,39.5
PHI,17,45.1,54.9,209,18.2,42.4
PIT,17,51.3,48.7,169,16.6,39.6
SEA,17,63.7,36.3,125,21.6,38.0
SF,17,55.6,44.4,195,18.5,42.9
TB,17,56.5,43.5,167,26.9,50.7
TEN,17,56.5,43.5,126,18.3,37.7
WAS,17,52.8,47.2,209,21.5,45.4
