rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
1,Ja'Marr Chase,CIN,17,403.0,23.71,175,127,1708.0,17,0.2723131,0.32667574,0.63714266,1.2169496,8.72,0.726,9.76,6.2,0.9229411764705882,35,30.2,17,26.2
2,Rashee Rice,KC,3,64.9,21.63,29,24,288.0,2,0.32769728,0.37337604,0.7529091,1.9077841,5.21,0.828,9.93,7.75,0.6025,2,2.1,1,2.2
3,Chris Godwin,TB,7,137.8,19.69,62,50,576.0,5,0.28165284,0.2962417,0.6298484,1.7208265,5.74,0.806,9.29,7.0,0.87,6,7.8,5,10.4
4,Puka Nacua,LA,11,206.6,18.78,106,79,990.0,3,0.32481954,0.3110666,0.70497584,2.7824554,7.92,0.745,9.34,6.56,0.6972727272727273,12,16.0,3,7.7
5,Justin Jefferson,MIN,17,317.48,18.68,154,103,1533.0,10,0.30068576,0.38016665,0.7171453,0.98577857,10.92,0.669,9.95,4.73,0.9317647058823528,25,28.7,13,29.5
6,Amon-Ra St. Brown,DET,17,316.18,18.6,141,115,1263.0,12,0.26728275,0.30866322,0.6169884,1.2463574,7.67,0.816,8.96,3.58,0.8829411764705882,31,34.8,15,36.6
7,Tee Higgins,CIN,12,222.09999,18.51,109,73,911.0,10,0.2610053,0.34545982,0.63332987,0.89258546,9.79,0.67,8.36,3.12,0.7908333333333334,24,20.7,14,21.5
8,Malik Nabers,NYG,15,273.6,18.24,170,109,1204.0,7,0.35704067,0.46515116,0.8611668,0.8644495,9.46,0.641,7.08,4.24,0.906,13,29.5,10,41.7
9,Davante Adams,NYJ,11,196.4,17.85,114,67,854.0,7,0.3078814,0.35075095,0.7073478,1.3526444,7.98,0.588,7.49,6.39,0.9081818181818182,24,,16,
10,CeeDee Lamb,DAL,15,263.4,17.56,152,101,1194.0,6,0.2824527,0.30215693,0.63518894,1.0690936,7.83,0.664,7.86,5.32,0.8019999999999999,16,25.4,3,10.7
11,Nico Collins,HOU,12,210.6,17.55,99,68,1006.0,7,0.2453888,0.34549388,0.6099289,0.98508453,10.94,0.687,10.16,5.37,0.6625,13,20.3,9,25.0
12,Mike Evans,TB,14,240.4,17.17,110,74,1004.0,11,0.25042218,0.40256223,0.6574269,0.79891557,11.58,0.673,9.13,3.05,0.7157142857142856,15,19.5,10,20.8
13,Brian Thomas,JAX,17,284.0,16.71,133,87,1282.0,10,0.25452065,0.36976302,0.64061505,0.94925153,11.59,0.654,9.64,6.46,0.7935294117647059,16,27.1,9,30.0
14,A.J. Brown,PHI,13,216.9,16.68,97,67,1079.0,7,0.33855215,0.50677633,0.86257166,0.9685196,12.04,0.691,11.12,5.27,0.8661538461538462,9,16.7,4,17.4
15,Drake London,ATL,17,280.8,16.52,158,100,1271.0,9,0.28239173,0.3690694,0.68193614,0.83013237,10.91,0.633,8.04,3.27,0.8970588235294118,24,42.1,10,52.6
16,Terry McLaurin,WAS,17,267.8,15.75,117,82,1096.0,13,0.2329837,0.39605603,0.62671477,0.761886,13.34,0.701,9.37,3.56,0.8047058823529412,14,20.6,8,25.0
17,DeVonta Smith,PHI,13,199.4,15.34,89,68,833.0,8,0.27992746,0.31314754,0.6390945,0.8412203,9.09,0.764,9.36,4.4,0.8853846153846153,11,20.4,5,21.7
18,Stefon Diggs,HOU,8,121.92,15.24,64,47,496.0,3,0.24408211,0.29353276,0.5715961,1.2049397,8.69,0.734,7.75,3.94,0.7837500000000001,5,7.8,4,11.1
19,Ladd McConkey,LAC,16,240.9,15.06,112,82,1149.0,7,0.24561788,0.30312517,0.58061445,1.1480263,9.95,0.732,10.26,4.76,0.731875,9,18.0,8,36.4
20,Courtland Sutton,DEN,16,240.3,15.02,135,81,1081.0,8,0.25923294,0.48153856,0.7259264,0.6459956,13.24,0.6,8.01,2.21,0.8523529411764706,21,31.8,9,30.0
21,Davante Adams,LV,3,44.9,14.97,27,18,209.0,1,0.2505342,0.41358033,0.6653075,0.80799764,9.7,0.667,7.74,2.5,0.9533333333333333,24,,16,
22,Jaxon Smith-Njigba,SEA,17,253.0,14.88,137,100,1130.0,6,0.23754174,0.29345492,0.56173104,1.5013168,8.66,0.73,8.25,4.77,0.8641176470588235,13,24.5,7,26.9
23,Garrett Wilson,NYJ,17,251.9,14.82,153,101,1104.0,7,0.25846568,0.35452235,0.63586414,0.99568456,9.01,0.66,7.22,4.38,0.9629411764705884,23,26.7,11,26.8
24,Cooper Kupp,LA,12,175.0,14.58,100,67,710.0,6,0.24910824,0.26600116,0.55986315,0.93146235,7.58,0.67,7.1,4.01,0.815,10,13.3,8,20.5
25,Jakobi Meyers,LV,15,218.0,14.53,129,87,1027.0,4,0.2515575,0.33762646,0.61367476,0.88898504,9.93,0.674,7.96,3.37,0.9166666666666666,14,25.0,6,21.4
26,Jordan Addison,MIN,15,212.5,14.17,99,63,875.0,9,0.21200176,0.30762675,0.53334135,0.73140526,12.97,0.636,8.84,3.38,0.8173333333333334,17,19.5,9,20.5
27,Jerry Jeudy,CLE,17,240.9,14.17,145,90,1229.0,4,0.22645071,0.33442187,0.57377136,0.7274842,11.11,0.621,8.48,4.3,0.8970588235294118,13,22.8,5,18.5
28,Jameson Williams,DET,15,212.2,14.15,91,58,1001.0,7,0.18682179,0.31928933,0.50373524,1.1717762,11.4,0.637,11.0,8.57,0.7953333333333333,10,11.2,3,7.3
29,Jauan Jennings,SF,15,210.5,14.03,113,77,975.0,6,0.25201762,0.30846855,0.59395444,0.8692852,9.9,0.681,8.63,3.09,0.744,15,19.7,8,22.2
30,D.J. Moore,CHI,17,238.1,14.01,140,98,966.0,6,0.27091306,0.2614777,0.589404,2.404069,7.49,0.7,6.9,6.0,0.9382352941176472,21,30.9,6,25.0
