rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,passing_yards,passing_tds,interceptions,comp_pct,yards_per_attempt,td_rate,sacks,carries,rushing_yards,rushing_tds,fppg,rush_att_5plus
1,Josh Allen,BUF,16,364.62,22.79,3668,25,10,0.693,7.97,0.054,40,112,579,14,22.79,45
2,Drake Maye,NE,17,351.96000000000004,20.7,4394,31,8,0.72,8.93,0.063,47,103,450,4,20.64,38
3,Matthew Stafford,LA,17,350.38,20.61,4707,46,8,0.65,7.88,0.077,23,29,1,0,20.61,1
4,Patrick Mahomes,KC,14,285.68,20.41,3587,22,11,0.627,7.15,0.044,34,64,422,5,20.33,40
5,Trevor Lawrence,JAX,17,338.18,19.89,4007,29,12,0.609,7.16,0.052,41,82,359,9,19.89,30
6,Brock Purdy,SF,9,177.38,19.71,2167,20,10,0.694,7.63,0.07,11,33,147,3,19.71,11
7,Jalen Hurts,PHI,16,301.06,18.82,3224,25,6,0.648,7.1,0.055,32,105,421,8,18.82,35
8,Caleb Williams,CHI,17,318.18,18.72,3942,27,7,0.581,6.94,0.048,24,77,383,3,18.6,36
9,Dak Prescott,DAL,17,313.78,18.46,4552,30,10,0.673,7.59,0.05,31,53,177,2,18.46,19
10,Bo Nix,DEN,17,304.84000000000003,17.93,3931,25,11,0.634,6.42,0.041,22,83,356,5,17.93,31
11,Justin Herbert,LAC,16,286.88,17.93,3727,26,13,0.664,7.28,0.051,54,83,498,2,17.93,34
12,Jared Goff,DET,17,297.06,17.47,4564,34,8,0.68,7.9,0.059,38,19,45,0,17.47,5
13,Daniel Jones,IND,13,226.44,17.42,3101,19,8,0.68,8.08,0.049,22,45,164,5,17.42,10
14,Jaxson Dart,NYG,14,241.58,17.26,2272,15,5,0.637,6.7,0.044,35,86,487,9,17.26,40
15,Joe Burrow,CIN,8,134.46,16.81,1809,17,5,0.668,6.98,0.066,17,14,41,0,16.81,3
16,Lamar Jackson,BAL,13,214.86,16.53,2549,21,7,0.636,8.44,0.07,36,67,349,2,16.53,30
