,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,opportunity_share,catch_rate,yac_per_rec,avg_snap_pct,gl_carries,gl_targets
0,Christian McCaffrey,SF,17,416.6,24.51,311,1202,10,3.86,129,102,924,7,0.2335364166909044,0.809,0.791,7.06,0.8311764705882353,20,4
1,Bijan Robinson,ATL,17,370.8,21.81,287,1478,7,5.15,103,79,820,4,0.1976050798076922,0.71,0.767,10.85,0.7817647058823529,13,2
2,Jahmyr Gibbs,DET,17,366.9,21.58,243,1223,13,5.03,94,77,616,5,0.1615347503336797,0.636,0.819,7.99,0.67,10,2
3,Jonathan Taylor,IND,17,362.3,21.31,323,1585,18,4.91,55,46,378,2,0.1097856514355238,0.842,0.836,9.43,0.8258823529411765,24,1
4,De'Von Achane,MIA,16,322.8,20.18,238,1350,8,5.67,85,67,488,4,0.1875157847660894,0.672,0.788,8.24,0.75375,5,1
5,James Cook,BUF,17,302.2,17.78,309,1621,12,5.25,40,33,291,2,0.0818556217629107,0.694,0.825,8.24,0.571764705882353,16,1
6,Chase Brown,CIN,17,282.6,16.62,232,1019,6,4.39,88,69,437,5,0.1432376740272642,0.722,0.784,6.52,0.6658823529411765,13,4
7,Derrick Henry,BAL,17,279.5,16.44,307,1595,16,5.2,21,15,150,0,0.0488049677341047,0.71,0.714,9.0,0.5452941176470588,27,0
8,Cam Skattebo,NYG,8,127.7,15.96,101,410,5,4.06,32,24,207,2,0.1291630244755244,0.269,0.75,8.71,0.5225,10,0
9,Josh Jacobs,GB,15,237.1,15.81,234,929,13,3.97,44,36,282,1,0.1015388794669154,0.599,0.818,8.44,0.5906666666666667,20,0
10,Kyren Williams,LA,17,263.3,15.49,259,1252,10,4.83,50,36,281,3,0.0807717465545122,0.648,0.72,4.31,0.6829411764705882,18,0
11,Javonte Williams,DAL,16,242.8,15.18,252,1201,11,4.77,51,35,137,2,0.085971385640071,0.662,0.686,5.89,0.69,20,5
12,Omarion Hampton,LAC,9,135.7,15.08,124,545,4,4.4,35,32,192,1,0.1180492504631208,0.377,0.914,7.66,0.6344444444444445,8,1
13,Travis Etienne,JAX,17,253.9,14.94,260,1107,7,4.26,52,36,292,6,0.0976339279134437,0.7,0.692,9.42,0.6011764705882353,13,1
14,Saquon Barkley,PHI,16,232.3,14.52,280,1140,7,4.07,50,37,273,2,0.1205338924343217,0.762,0.74,8.0,0.783125,15,2
15,Ashton Jeanty,LV,17,245.1,14.42,266,975,5,3.67,73,55,346,5,0.147596031639186,0.843,0.753,8.22,0.7788235294117647,11,1
16,D'Andre Swift,CHI,16,228.6,14.29,223,1087,9,4.87,48,34,299,1,0.0935375618460684,0.573,0.708,10.5,0.57875,14,0
17,Bucky Irving,TB,10,138.5,13.85,173,588,1,3.4,35,30,277,3,0.1071224824026548,0.432,0.857,12.0,0.616,0,0
18,Jaylen Warren,PIT,16,217.1,13.57,211,958,6,4.54,45,40,333,2,0.0957874368140389,0.528,0.889,10.98,0.5075000000000001,14,1
19,Kenneth Gainwell,PIT,17,221.3,13.02,114,537,5,4.71,85,73,486,3,0.1630249670794807,0.41,0.859,7.23,0.4964705882352941,9,1
20,Breece Hall,NYJ,16,207.66,12.98,243,1065,4,4.38,48,36,350,1,0.1058516514561936,0.681,0.75,8.92,0.64375,4,1
21,Rhamondre Stevenson,NE,14,178.8,12.77,130,603,7,4.64,37,32,345,2,0.0984284425232543,0.368,0.865,8.22,0.5935714285714286,12,1
22,Rico Dowdle,CAR,17,216.3,12.72,236,1076,6,4.56,50,39,297,1,0.1102740158315763,0.593,0.78,8.97,0.5605882352941176,9,0
23,RJ Harvey,DEN,17,206.6,12.15,146,540,7,3.7,58,47,356,5,0.1020837055509386,0.433,0.81,7.66,0.4211764705882353,10,3
24,TreVeyon Henderson,NE,17,206.2,12.13,180,911,9,5.06,42,35,221,1,0.0839263927556286,0.489,0.833,6.97,0.4588235294117647,8,1
25,Quinshon Judkins,CLE,14,169.8,12.13,230,827,7,3.6,36,26,171,0,0.0827733868928385,0.562,0.722,7.46,0.505,12,0
26,J.K. Dobbins,DEN,10,115.9,11.59,153,772,4,5.05,14,11,37,0,0.045865712159099,0.355,0.786,5.09,0.511,7,0
27,Zach Charbonnet,SEA,16,181.4,11.34,184,730,12,3.97,24,20,144,0,0.0520112050047272,0.425,0.833,6.15,0.48375,19,1
28,Kenneth Walker III,SEA,17,191.9,11.29,221,1027,5,4.65,36,31,282,0,0.0825860865057058,0.526,0.861,10.94,0.4688235294117647,0,0
29,James Conner,ARI,3,33.3,11.1,32,95,1,2.97,9,8,38,1,0.098526031102096,0.099,0.889,8.5,0.5,3,1
30,Tony Pollard,TEN,17,185.8,10.93,242,1082,5,4.47,41,33,206,0,0.0759539897472931,0.672,0.805,6.15,0.6247058823529412,4,0
31,Tyrone Tracy Jr.,NYG,15,160.8,10.72,176,740,2,4.2,48,36,288,2,0.107835411902349,0.453,0.75,8.72,0.5446666666666666,0,0
32,Aaron Jones,MIN,12,118.7,9.89,132,548,2,4.15,41,28,199,1,0.1413775793336394,0.415,0.683,8.11,0.5508333333333333,3,0
33,David Montgomery,DET,17,166.92000000000002,9.82,158,716,8,4.53,29,24,192,0,0.0542712737970613,0.353,0.828,8.29,0.3705882352941176,17,0
34,Audric Estimé,NO,5,48.1,9.62,46,198,1,4.3,13,12,103,0,0.0731952874187118,0.156,0.923,9.0,,0,0
35,Alvin Kamara,NO,11,100.7,9.15,131,471,1,3.6,39,33,186,0,0.1166870981899541,0.451,0.846,6.12,0.6372727272727272,2,0
36,Kimani Vidal,LAC,13,117.9,9.07,155,643,3,4.15,22,16,136,1,0.0542016070257136,0.419,0.727,10.62,0.5446153846153846,7,0
37,Woody Marks,HOU,16,145.1,9.07,196,703,2,3.59,36,24,208,3,0.0684081177524432,0.487,0.667,9.29,0.515,9,2
38,Trey Benson,ARI,4,35.400000000000006,8.85,29,160,0,5.52,16,13,64,0,0.1292824543610547,0.108,0.812,5.62,0.4825,1,0
39,Kyle Monangai,CHI,17,146.7,8.63,169,783,5,4.63,30,18,164,0,0.0572234898906835,0.421,0.6,9.0,0.4088235294117647,12,0
40,Tyjae Spears,TEN,13,111.7,8.59,72,283,2,3.93,50,45,264,0,0.1228465399208433,0.29,0.9,8.02,0.4592307692307692,2,0
41,Kareem Hunt,KC,17,145.4,8.55,163,611,8,3.75,25,18,143,1,0.0438096832663762,0.457,0.72,8.5,0.4705882352941176,15,1
42,Rachaad White,TB,17,143.0,8.41,132,572,4,4.33,45,40,218,0,0.0826129388369553,0.367,0.889,8.22,0.5105882352941177,9,0
43,Chuba Hubbard,CAR,15,125.4,8.36,134,511,1,3.81,39,30,223,3,0.0882327003536009,0.359,0.769,9.7,0.458,2,3
44,Jacory Croskey-Merritt,WAS,17,140.3,8.25,175,805,8,4.6,13,9,68,0,0.0298203590894531,0.496,0.692,8.56,0.3947058823529412,13,0
45,Jordan Mason,MIN,16,128.9,8.06,159,758,6,4.77,16,14,51,0,0.0350684769190522,0.42,0.875,7.29,0.4275,7,0
46,Bam Knight,ARI,12,92.9,7.74,82,269,4,3.28,31,22,160,1,0.0633088327197155,0.272,0.71,6.86,,0,0
47,Chris Rodriguez Jr.,WAS,12,92.0,7.67,112,500,6,4.46,4,3,30,0,0.01327804664919,0.306,0.75,8.67,,0,0
48,Michael Carter,ARI,13,99.0,7.62,92,333,1,3.62,45,33,267,0,0.091741631940296,0.33,0.733,7.79,0.4523076923076923,3,0
