team,position,avg_pts_allowed,sos_rank
ARI,C,0.0,1
ARI,CB,0.0,9
ARI,DB,0.0,1
ARI,DE,0.0967741935483871,2
ARI,DT,0.0,6
ARI,FB,3.9,3
ARI,FS,0.0,1
ARI,G,0.4428571428571429,1
ARI,ILB,0.0,1
ARI,K,0.0,2
ARI,LB,0.0,2
ARI,LS,0.0,1
ARI,MLB,0.0,1
ARI,NT,0.0,1
ARI,OLB,0.0,1
ARI,OT,0.48000000000000004,1
ARI,P,0.0,3
ARI,QB,13.100909090909092,18
ARI,RB,8.741176470588236,3
ARI,S,0.0,1
ARI,SAF,0.0,5
ARI,TE,6.258695652173913,7
ARI,WR,6.837333333333333,15
ATL,C,0.0,1
ATL,CB,0.0,9
ATL,DB,0.0,1
ATL,DE,0.0,3
ATL,DL,0.0,1
ATL,DT,0.0,6
ATL,FB,1.4,11
ATL,FS,0.0,1
ATL,G,0.1125,3
ATL,K,0.0,2
ATL,LB,0.06521739130434782,1
ATL,LS,0.0,1
ATL,MLB,0.0,1
ATL,NT,0.0,1
ATL,OLB,0.0,1
ATL,OT,0.0,2
ATL,P,0.0,3
ATL,QB,13.871,12
ATL,RB,7.528571428571429,19
ATL,S,0.0,1
ATL,SAF,0.0,5
ATL,TE,4.226829268292684,30
ATL,WR,6.932926829268292,12
BAL,C,0.0,1
BAL,CB,0.0676923076923077,6
BAL,DB,0.0,1
BAL,DE,0.0,3
BAL,DL,0.0,1
BAL,DT,0.0,6
BAL,FB,0.0,24
BAL,FS,0.0,1
BAL,G,0.0,4
BAL,ILB,0.0,1
BAL,K,0.0,2
BAL,LB,0.0,2
BAL,LS,0.0,1
BAL,MLB,0.0,1
BAL,NT,0.0,1
BAL,OLB,0.0,1
BAL,OT,0.0,2
BAL,P,0.0,3
BAL,QB,13.682727272727272,13
BAL,RB,7.902,13
BAL,SAF,0.0,5
BAL,TE,4.8325000000000005,25
BAL,WR,7.225,8
BUF,C,0.0,1
BUF,CB,0.0,9
BUF,DB,0.0,1
BUF,DE,0.0,3
BUF,DT,0.0,6
BUF,FB,0.6000000000000001,21
BUF,FS,0.0,1
BUF,G,0.0,4
BUF,ILB,0.0,1
BUF,K,0.0,2
BUF,LB,0.0,2
BUF,LS,0.0,1
BUF,MLB,0.0,1
BUF,NT,0.0,1
BUF,OLB,0.0,1
BUF,OT,0.0,2
BUF,P,0.0,3
BUF,QB,10.598095238095238,28
BUF,RB,8.622916666666667,4
BUF,S,0.0,1
BUF,SAF,0.0,5
BUF,TE,4.43793103448276,29
BUF,WR,5.767948717948719,29
CAR,C,0.0,1
CAR,CB,0.0967741935483871,3
CAR,DB,0.0,1
CAR,DE,0.0,3
CAR,DL,0.0,1
CAR,DT,0.0,6
CAR,FB,0.0,24
CAR,FS,0.0,1
CAR,G,0.0,4
CAR,K,0.0,2
CAR,LB,0.0,2
CAR,LS,0.0,1
CAR,NT,0.0,1
CAR,OLB,0.0,1
CAR,OT,0.0,2
CAR,P,0.0,3
CAR,QB,9.786666666666667,30
CAR,RB,8.377551020408163,7
CAR,S,0.0,1
CAR,SAF,0.0,5
CAR,TE,5.550000000000001,15
CAR,WR,6.067105263157895,22
CHI,C,0.0,1
CHI,CB,0.1597222222222222,1
CHI,DB,0.0,1
CHI,DE,0.0,3
CHI,DL,0.0,1
CHI,DT,0.0,6
CHI,FB,4.7,2
CHI,FS,0.0,1
CHI,G,0.0,4
CHI,ILB,0.0,1
CHI,K,0.0,2
CHI,LB,0.0,2
CHI,LS,0.0,1
CHI,MLB,0.0,1
CHI,NT,0.0,1
CHI,OLB,0.0,1
CHI,OT,0.0,2
CHI,P,0.0,3
CHI,QB,15.413999999999998,7
CHI,RB,7.995555555555556,10
CHI,S,0.0,1
CHI,SAF,0.0,5
CHI,TE,5.5525,14
CHI,WR,7.8441558441558445,4
CIN,C,0.0,1
CIN,CB,0.004225352112676057,8
CIN,DB,0.0,1
CIN,DE,0.0,3
CIN,DL,0.0,1
CIN,DT,0.0,6
CIN,FB,0.95,14
CIN,FS,0.0,1
CIN,G,0.0,4
CIN,ILB,0.0,1
CIN,K,0.0,2
CIN,LB,0.0,2
CIN,MLB,0.0,1
CIN,NT,0.0,1
CIN,OLB,0.0,1
CIN,OT,0.0,2
CIN,P,0.0,3
CIN,QB,14.911428571428571,8
CIN,RB,9.295769230769231,2
CIN,S,0.0,1
CIN,SAF,0.0,5
CIN,TE,7.888888888888889,1
CIN,WR,5.646493506493507,31
CLE,C,0.0,1
CLE,CB,0.0,9
CLE,DB,0.0,1
CLE,DE,0.0,3
CLE,DL,0.0,1
CLE,DT,0.0,6
CLE,FB,1.5666666666666667,10
CLE,FS,0.0,1
CLE,G,0.0,4
CLE,ILB,0.0,1
CLE,K,0.0,2
CLE,LB,0.0,2
CLE,LS,0.0,1
CLE,MLB,0.0,1
CLE,NT,0.0,1
CLE,OLB,0.0,1
CLE,OT,0.0,2
CLE,P,0.0,3
CLE,QB,9.43,32
CLE,RB,7.429600000000001,20
CLE,SAF,0.0,5
CLE,TE,4.61063829787234,27
CLE,WR,6.354166666666667,20
DAL,C,0.0,1
DAL,CB,0.0,9
DAL,DB,0.0,1
DAL,DE,0.0,3
DAL,DL,0.0,1
DAL,DT,0.0,6
DAL,FB,6.1,1
DAL,FS,0.0,1
DAL,G,0.0,4
DAL,ILB,0.0,1
DAL,K,0.0,2
DAL,LB,0.0,2
DAL,LS,0.0,1
DAL,MLB,0.0,1
DAL,NT,0.0,1
DAL,OLB,0.0,1
DAL,OT,0.0,2
DAL,P,0.0,3
DAL,QB,19.832,1
DAL,RB,8.437254901960785,5
