rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,avg_snap_pct,rz_targets
1,Trey McBride,ARI,17,315.90000000000003,18.58,169,126,1239,11,0.2788761551568511,0.2459160908499617,0.5904554963302499,1.1920849404529628,6.66,0.746,7.33,0.9135294117647058,34
2,Brock Bowers,LV,12,176.2,14.68,86,64,680,7,0.2337834635029657,0.2503386684176968,0.5259122631468364,1.5817277945999615,6.51,0.744,7.91,0.8591666666666667,18
3,George Kittle,SF,11,161.5,14.68,69,57,628,7,0.2145414878586271,0.1849245905194327,0.4512594451515436,1.478793270732217,6.67,0.826,9.1,0.8118181818181818,13
4,Tucker Kraft,GB,8,117.2,14.65,44,32,489,6,0.1896111758611758,0.0958314741608315,0.3514987957043459,8.94906921101774,4.57,0.727,11.11,0.86,12
5,Kyle Pitts,ATL,17,210.8,12.4,118,88,928,5,0.2268210253760819,0.2161630737607579,0.4915456896966534,1.3427600007675358,7.36,0.746,7.86,0.88,13
6,Dallas Goedert,PHI,15,185.1,12.34,82,60,591,11,0.207595155379454,0.1520029258818682,0.4177947811864888,1.2666976470532778,7.11,0.732,7.21,0.846,15
7,Sam LaPorta,DET,9,106.9,11.88,49,40,489,3,0.1846946965301275,0.1748414130584068,0.399431033936076,1.8362921668184824,5.65,0.816,9.98,0.9066666666666668,6
8,Harold Fannin Jr.,CLE,16,186.4,11.65,107,72,731,6,0.2184337539936711,0.1865251528257102,0.4582182379685038,1.9898824515553155,6.04,0.673,6.83,,0
9,Travis Kelce,KC,17,193.2,11.36,108,76,851,5,0.1999563752785307,0.1810587226391726,0.4266756687652169,1.2832294237957644,6.81,0.704,7.88,0.8188235294117647,13
10,Tyler Warren,IND,17,188.5,11.09,112,76,817,4,0.2148440487569748,0.1468535012537712,0.4250635240131022,1.8183664213930084,5.38,0.679,7.29,0.8382352941176471,23
11,Jake Ferguson,DAL,17,188.1,11.06,102,82,600,8,0.1647980896684908,0.0893781607058518,0.3097618469968326,1.252200401223094,4.66,0.804,5.88,0.6670588235294117,25
12,Juwan Johnson,NO,17,179.9,10.58,102,77,889,3,0.1766835467696566,0.1553646136319327,0.3737805496968378,1.4325940467282852,7.58,0.755,8.72,0.75,8
13,Hunter Henry,NE,17,178.8,10.52,87,60,768,7,0.1741870263807565,0.1541109772000423,0.3691582236111644,1.6458805724145418,8.16,0.69,8.83,0.7941176470588235,22
14,Dalton Kincaid,BUF,12,126.1,10.51,49,39,571,5,0.1492589844401438,0.2071427414464535,0.3688883956727332,1.1805598633720835,9.49,0.796,11.65,0.3741666666666667,9
15,Dalton Schultz,HOU,17,177.70000000000002,10.45,106,82,777,3,0.1906463018824429,0.1521934217350947,0.3925048480382307,1.2095119513548698,6.22,0.774,7.33,0.7105882352941176,12
16,Colston Loveland,CHI,16,165.1,10.32,82,58,713,6,0.1660905396557653,0.1633039008868605,0.3634485401044503,1.0167196768600315,9.1,0.707,8.7,0.645,15
17,Darren Waller,MIA,9,88.7,9.86,34,24,283,6,0.1462650781717719,0.2206856417978159,0.3738775665161289,0.7281742984782912,10.56,0.706,8.32,0.4499999999999999,8
18,Brenton Strange,JAX,12,118.0,9.83,60,46,540,3,0.1561222955651903,0.1232739608089933,0.3204752159140808,1.2466437507294084,6.9,0.767,9.0,0.7483333333333334,10
19,Zach Ertz,WAS,13,126.4,9.72,72,50,504,4,0.1928870549632749,0.203086707067493,0.4314912773921575,0.7592753068243436,9.11,0.694,7.0,0.6646153846153846,9
20,Jake Tonges,SF,10,93.3,9.33,46,34,293,5,0.1217843998747574,0.0786881537626986,0.2377583074460251,1.5133830619941733,5.07,0.739,6.37,0.3317647058823529,7
21,Colby Parkinson,LA,14,129.8,9.27,56,43,408,8,0.116787562805736,0.0445760431204718,0.2063845743929344,2.4669841162606505,4.43,0.768,7.29,0.604,22
22,Oronde Gadsden II,LAC,15,131.4,8.76,69,49,664,3,0.1442236844181001,0.1669937551091696,0.333231155203569,1.143600479677095,9.04,0.71,9.62,0.626,0
23,AJ Barner,SEA,17,147.3,8.66,68,52,519,6,0.1379806815087712,0.0774103968899502,0.261158300086122,1.6016993916371094,4.37,0.765,7.63,0.7729411764705882,13
24,Theo Johnson,NYG,15,127.8,8.52,74,45,528,5,0.1722313233494775,0.1660365834300452,0.3745725934252479,0.8292619447894595,8.32,0.608,7.14,0.8673333333333333,0
25,Cade Otton,TB,15,122.2,8.15,81,59,572,1,0.1739313157497404,0.1160761752776972,0.3421502963189988,1.3894699553075511,5.17,0.728,7.06,0.935,7
26,David Njoku,CLE,11,86.3,7.85,48,33,293,4,0.1246681263781538,0.0914888282676243,0.2510443693545678,1.4444070895844732,5.27,0.688,6.1,0.6391666666666667,9
27,Mark Andrews,BAL,17,131.0,7.71,70,48,422,5,0.1706813179021654,0.1634834862865603,0.3704604172538404,0.8163438666476628,7.26,0.686,6.03,0.6170588235294118,15
28,Pat Freiermuth,PIT,15,113.6,7.57,54,41,486,4,0.1128639711391501,0.1257493412251839,0.257320495566354,4.854269667156421,5.98,0.759,9.0,0.5035294117647059,9
29,T.J. Hockenson,MIN,15,112.8,7.52,66,51,438,3,0.1594303847541056,0.1019626852050062,0.3105194567746627,1.670058866935185,4.98,0.773,6.64,0.7793333333333333,11
30,Chig Okonkwo,TEN,17,124.0,7.29,79,56,560,2,0.1497894126943121,0.0870308102751258,0.2856056862340563,3.335789037703338,4.63,0.709,7.09,,5
31,Tyler Higbee,LA,10,71.1,7.11,36,25,281,3,0.1099774184688795,0.0086278029951683,0.1710055897999371,3.5404218335112643,3.28,0.694,7.81,0.5549999999999999,8
32,Greg Dulcich,MIA,9,62.8,6.98,33,26,335,1,0.1542481956275059,0.0921244395778079,0.2958594011457245,2.587788671023965,4.7,0.788,10.15,0.422,7
33,Mason Taylor,NYJ,13,88.9,6.84,65,44,369,1,0.1720470011102765,0.1379465183317632,0.354633064497649,0.9647996842825044,5.77,0.677,5.68,0.8107692307692307,9
34,Dawson Knox,BUF,16,103.7,6.48,49,36,417,4,0.1103502742225568,0.1234699516594941,0.2519543774954811,1.5915829447883414,6.71,0.735,8.51,0.5829411764705883,13
35,Evan Engram,DEN,16,102.8,6.42,76,50,461,1,0.1368866072376317,0.1471619199844056,0.3083432548455315,5.125047717586942,4.36,0.658,6.07,0.42125,11
36,Mike Gesicki,CIN,12,70.7,5.89,42,28,307,2,0.1034307498538635,0.13106222968674,0.2468896855615133,0.8133694648041394,9.95,0.667,7.31,0.3853846153846154,8
37,Noah Fant,CIN,13,74.8,5.75,41,34,288,3,0.0915441337133053,0.0366791226310396,0.1629915864116858,3.1154295186640826,3.34,0.829,7.02,0.3793333333333333,4
38,Gunnar Helm,TEN,16,91.7,5.73,55,44,357,2,0.1065032358486985,0.0804923370340279,0.2160994896968673,1.327627687026269,5.51,0.8,6.49,0.525625,8
39,Michael Mayer,LV,13,73.8,5.68,50,35,328,1,0.1371656930438632,0.1307617139932321,0.2972817393610574,1.5991489197945803,4.8,0.7,6.56,0.6176923076923077,6
40,Darnell Washington,PIT,13,73.4,5.65,43,31,364,1,0.1120161536150061,0.1186202806317149,0.2510584268647097,1.7862252597087882,5.63,0.721,8.47,0.5725,9
