team,pass_attempts,rush_attempts,total_plays,pass_rate,run_rate
ARI,649,366,1015,0.639,0.361
CIN,640,381,1021,0.627,0.373
TEN,570,378,948,0.601,0.399
LV,515,369,884,0.583,0.417
KC,584,430,1014,0.576,0.424
NO,591,435,1026,0.576,0.424
PIT,550,407,957,0.575,0.425
DAL,624,465,1089,0.573,0.427
DEN,613,456,1069,0.573,0.427
CLE,558,421,979,0.57,0.43
DET,582,442,1024,0.568,0.432
LA,598,465,1063,0.563,0.437
IND,547,442,989,0.553,0.447
HOU,582,475,1057,0.551,0.449
LAC,569,466,1035,0.55,0.45
SF,574,481,1055,0.544,0.456
TB,558,472,1030,0.542,0.458
MIN,484,410,894,0.541,0.459
JAX,563,489,1052,0.535,0.465
ATL,545,477,1022,0.533,0.467
CHI,574,505,1079,0.532,0.468
CAR,515,461,976,0.528,0.472
MIA,479,432,911,0.526,0.474
NYJ,494,456,950,0.52,0.48
PHI,497,478,975,0.51,0.49
NYG,526,511,1037,0.507,0.493
NE,502,494,996,0.504,0.496
GB,489,492,981,0.498,0.502
WAS,469,484,953,0.492,0.508
SEA,481,507,988,0.487,0.513
BUF,495,547,1042,0.475,0.525
BAL,422,507,929,0.454,0.546
