,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz_targets
0,Puka Nacua,LA,16,375.0,23.44,166,129,1715,10,0.3012701078787262,0.3369060129339192,0.6877393708718328,1.1871492993418655,9.43,0.777,10.33,5.16,0.6825,17
1,Jaxon Smith-Njigba,SEA,17,359.90000000000003,21.17,163,119,1793,10,0.3677047335575659,0.5043162062430955,0.9045784447065156,1.141289427321901,11.25,0.73,11.0,4.44,0.7741176470588236,17
2,Ja'Marr Chase,CIN,16,313.6,19.6,185,125,1412,8,0.3206574378159984,0.3658287340163373,0.7370662705354337,1.0296173668654776,8.49,0.676,7.63,5.12,0.94375,22
3,Amon-Ra St. Brown,DET,17,324.0,19.06,172,117,1401,11,0.3166396911973105,0.3866391169601706,0.7456069186680852,1.05904166037656,8.08,0.68,8.15,4.87,0.8523529411764706,13
4,Rashee Rice,KC,8,150.1,18.76,78,53,571,5,0.2903309732573863,0.1369977045308714,0.5313948530576895,2.333269067644068,4.33,0.679,7.32,7.81,0.74875,19
5,George Pickens,DAL,17,291.9,17.17,137,93,1429,9,0.2251513769371896,0.3220924231479262,0.5631917616093327,0.9387988283771422,11.29,0.679,10.43,5.15,0.8111764705882354,24
6,Drake London,ATL,12,201.9,16.82,112,68,919,7,0.2971111259393393,0.4024199455896703,0.7273606508217783,0.7523818084696628,10.9,0.607,8.21,3.37,0.9066666666666666,16
7,Chris Olave,NO,16,268.0,16.75,156,100,1163,9,0.2917898254370841,0.409910094815176,0.7246218045262495,0.6513961980802567,11.8,0.641,7.46,2.89,0.843125,15
8,Davante Adams,LA,14,222.9,15.92,114,60,789,14,0.2514545508748328,0.3763759082197157,0.6406449620660501,0.5642327868082475,12.67,0.526,6.92,1.95,0.7142857142857143,32
9,CeeDee Lamb,DAL,13,200.9,15.45,117,75,1077,3,0.2510310914646287,0.3349977533039243,0.6110450645096901,0.8792240488469283,11.99,0.641,9.21,4.31,0.7285714285714285,17
10,Nico Collins,HOU,15,226.2,15.08,120,71,1117,6,0.2424206764150525,0.3507441884373733,0.6091519465287402,0.8788302427584231,12.74,0.592,9.31,4.56,0.772,19
11,A.J. Brown,PHI,15,220.3,14.69,121,78,1003,7,0.2865621839608201,0.3552099675629426,0.6784902532352901,0.7399208144636087,11.78,0.645,8.29,3.44,0.9066666666666666,0
12,Zay Flowers,BAL,17,243.3,14.31,118,86,1211,5,0.2988172538071384,0.3604790706101918,0.700561230137842,1.2313294204486738,10.2,0.729,10.26,5.33,0.8647058823529411,12
13,Malik Nabers,NYG,4,57.1,14.28,35,18,271,2,0.2708333333333333,0.4386150612479355,0.7132805428735548,0.5348306577329136,15.86,0.514,7.74,2.89,0.795,4
14,Garrett Wilson,NYJ,7,99.5,14.21,59,36,395,4,0.3538926681783824,0.5625681628051125,0.9246367162311524,0.6898422728579836,9.07,0.61,6.69,2.78,0.87,5
15,Tee Higgins,CIN,15,211.6,14.11,98,59,846,11,0.1826482657887034,0.3299325402843764,0.5049251768821186,0.6752795396432733,13.41,0.602,8.63,2.81,0.8086666666666666,16
16,Wan'Dale Robinson,NYG,16,217.9,13.62,140,92,1014,4,0.3026577221446009,0.284523664461736,0.6531531483401166,0.8715331152285384,8.48,0.657,7.24,4.2,0.9075,14
