player,position,team,claude_score,fppg_ppr,games,claude_overall_rank,claude_pos_rank
Khalil Shakir,WR,BUF,78.97,10.4,16,1,1
Jaxon Smith-Njigba,WR,SEA,56.91,21.17,17,2,2
Rashee Rice,WR,KC,56.83,18.76,8,3,3
Puka Nacua,WR,LA,51.74,23.44,16,4,4
Ja'Marr Chase,WR,CIN,49.62,19.6,16,5,5
Amon-Ra St. Brown,WR,DET,49.6,19.06,17,6,6
Deebo Samuel Sr.,WR,WAS,49.15,11.76,16,7,7
Garrett Wilson,WR,NYJ,48.07,14.21,7,8,8
Zay Flowers,WR,BAL,46.86,14.31,17,9,9
Malachi Corley,WR,CLE,44.97,2.63,12,10,10
Drake London,WR,ATL,44.05,16.82,12,11,11
Chris Olave,WR,NO,42.73,16.75,16,12,12
Justin Jefferson,WR,MIN,42.36,11.85,17,13,13
Wan'Dale Robinson,WR,NYG,42.06,13.62,16,14,14
A.J. Brown,WR,PHI,41.25,14.69,15,15,15
CeeDee Lamb,WR,DAL,40.32,15.45,13,16,16
George Pickens,WR,DAL,39.96,17.17,17,17,17
Nico Collins,WR,HOU,39.72,15.08,15,18,18
Tyreek Hill,WR,MIA,39.69,13.38,4,19,19
DK Metcalf,WR,PIT,39.36,12.48,15,20,20
Malik Nabers,WR,NYG,39.02,14.28,4,21,21
Tetairoa McMillan,WR,CAR,38.97,12.55,17,22,22
DeVonta Smith,WR,PHI,38.41,11.87,17,23,23
Stefon Diggs,WR,NE,38.37,12.37,17,24,24
Marquise Brown,WR,KC,38.22,8.61,16,25,25
Davante Adams,WR,LA,38.07,15.92,14,26,26
Christian McCaffrey,RB,SF,37.74,24.51,17,27,1
Jaylen Waddle,WR,MIA,37.3,12.13,16,28,27
Bijan Robinson,RB,ATL,37.13,21.81,17,29,2
De'Von Achane,RB,MIA,36.61,20.18,16,30,3
Terry McLaurin,WR,WAS,36.46,11.42,10,31,28
Cooper Kupp,WR,SEA,36.17,7.27,16,32,29
Jakobi Meyers,WR,JAX,36.03,11.96,9,33,30
Malik Washington,WR,MIA,35.48,6.86,17,34,31
Chimere Dike,WR,TEN,35.39,7.54,17,35,32
Chris Godwin Jr.,WR,TB,35.3,9.22,9,36,33
Jameson Williams,WR,DET,35.26,12.94,17,37,34
Tre Tucker,WR,LV,35.05,9.51,17,38,35
Trey McBride,TE,ARI,34.58,18.58,17,39,1
Jahmyr Gibbs,RB,DET,34.55,21.58,17,40,4
Christian Watson,WR,GB,34.52,13.24,10,41,36
Jalen Coker,WR,CAR,34.5,8.22,11,42,37
Emeka Egbuka,WR,TB,34.4,11.51,17,43,38
Courtland Sutton,WR,DEN,34.28,12.92,17,44,39
Jonathan Taylor,RB,IND,34.16,21.31,17,45,5
Quentin Johnston,WR,LAC,34.15,13.17,13,46,40
Michael Pittman,WR,IND,34.14,11.91,17,47,41
Jayden Reed,WR,GB,34.04,9.7,5,48,42
Rashid Shaheed,WR,NO,34.01,11.6,9,49,43
Ladd McConkey,WR,LAC,33.71,11.31,16,50,44
Rome Odunze,WR,CHI,33.62,12.18,12,51,45
Keenan Allen,WR,LAC,33.45,10.75,17,52,46
Mike Evans,WR,TB,33.28,10.6,8,53,47
Tee Higgins,WR,CIN,32.62,14.11,15,54,48
Alec Pierce,WR,IND,32.47,12.22,15,55,49
Michael Wilson,WR,ARI,32.25,12.98,17,56,50
Adonai Mitchell,WR,NYJ,32.22,8.21,8,57,51
Romeo Doubs,WR,GB,32.16,10.34,16,58,52
Theo Wease Jr.,WR,MIA,31.92,8.63,3,59,53
Jauan Jennings,WR,SF,31.78,11.55,15,60,54
Parker Washington,WR,JAX,31.41,11.54,16,61,55
Troy Franklin,WR,DEN,30.47,10.42,17,62,56
Marvin Harrison Jr.,WR,ARI,30.36,10.65,12,63,57
Darius Cooper,WR,PHI,30.24,3.03,6,64,58
John Metchie III,WR,NYJ,29.89,7.34,9,65,59
Chase Brown,RB,CIN,29.71,16.62,17,66,6
Brian Thomas Jr.,WR,JAX,29.66,9.91,14,67,60
James Cook,RB,BUF,29.34,17.78,17,68,7
Brock Bowers,TE,LV,28.98,14.68,12,69,2
Keon Coleman,WR,BUF,28.97,8.53,12,70,61
Travis Hunter,WR,JAX,28.95,9.11,7,71,62
Ricky Pearsall,WR,SF,28.95,9.84,9,72,63
Josh Downs,WR,IND,28.89,8.65,16,73,64
Van Jefferson,WR,TEN,28.81,5.0,14,74,65
Jordan Addison,WR,MIN,28.51,9.65,14,75,66
Saquon Barkley,RB,PHI,28.3,14.52,16,76,8
Ashton Jeanty,RB,LV,28.21,14.42,17,77,9
Kyren Williams,RB,LA,28.21,15.49,17,78,10
Jerry Jeudy,WR,CLE,28.14,7.1,17,79,67
Javonte Williams,RB,DAL,28.13,15.18,16,80,11
Calvin Ridley,WR,TEN,27.92,6.76,7,81,68
DJ Moore,WR,CHI,27.89,10.13,17,82,69
Luther Burden III,WR,CHI,27.84,8.53,15,83,70
Michael Bandy,WR,DEN,27.81,3.75,4,84,71
Omarion Hampton,RB,LAC,27.73,15.08,9,85,12
Elic Ayomanor,WR,TEN,27.27,7.28,16,86,72
Derrick Henry,RB,BAL,27.18,16.44,17,87,13
Kenneth Gainwell,RB,PIT,27.09,13.02,17,88,14
D'Andre Swift,RB,CHI,26.91,14.29,16,89,15
Britain Covey,WR,PHI,26.82,0.67,6,90,73
George Kittle,TE,SF,26.81,14.68,11,91,3
Cam Skattebo,RB,NYG,26.8,15.96,8,92,16
Mack Hollins,WR,NE,26.75,8.1,14,93,74
Jayden Higgins,WR,HOU,26.64,7.62,17,94,75
Kyle Pitts,TE,ATL,26.45,12.4,17,95,4
Travis Etienne,RB,JAX,26.42,14.94,17,96,17
DeMario Douglas,WR,NE,26.4,5.99,16,97,76
Josh Jacobs,RB,GB,26.38,15.81,15,98,18
Jalen McMillan,WR,TB,26.36,7.48,4,99,77
Breece Hall,RB,NYJ,26.16,12.98,16,100,19
Jack Bech,WR,LV,25.96,3.03,14,101,78
Rhamondre Stevenson,RB,NE,25.83,12.77,14,102,20
Calvin Austin III,WR,PIT,25.72,6.16,14,103,79
Rico Dowdle,RB,CAR,25.67,12.72,17,104,21
Darius Slayton,WR,NYG,25.66,7.06,14,105,80
Gunner Olszewski,WR,NYG,25.49,2.24,16,106,81
Xavier Worthy,WR,KC,25.47,7.85,14,107,82
Jaylen Warren,RB,PIT,25.17,13.57,16,108,22
Elijah Moore,WR,BUF,25.12,3.18,9,109,83
Trey Benson,RB,ARI,25.05,8.85,4,110,23
Ashton Dulin,WR,IND,25.03,1.67,12,111,84
Ryan Flournoy,WR,DAL,25.0,7.6,15,112,85
Kalif Raymond,WR,DET,24.98,4.45,15,113,86
Harold Fannin Jr.,TE,CLE,24.96,11.65,16,114,5
Devaughn Vele,WR,NO,24.94,7.37,9,115,87
Cody White,WR,SEA,24.9,2.25,8,116,88
Pat Bryant,WR,DEN,24.8,5.75,13,117,89
JuJu Smith-Schuster,WR,KC,24.77,4.32,17,118,90
TreVeyon Henderson,RB,NE,24.5,12.13,17,119,24
Bucky Irving,RB,TB,24.48,13.85,10,120,25
Efton Chism III,WR,NE,24.34,2.06,8,121,91
Kayshon Boutte,WR,NE,24.3,8.86,14,122,92
Dallas Goedert,TE,PHI,24.26,12.34,15,123,6
Darnell Mooney,WR,ATL,24.16,5.49,15,124,93
Tony Pollard,RB,TEN,24.02,10.93,17,125,26
Aaron Jones,RB,MIN,23.98,9.89,12,126,27
Tucker Kraft,TE,GB,23.92,14.65,8,127,7
Olamide Zaccheaus,WR,CHI,23.91,6.06,14,128,94
Tyler Warren,TE,IND,23.78,11.09,17,129,8
J.K. Dobbins,RB,DEN,23.54,11.59,10,130,28
