player,position,team,claude_overall_rank,claude_pos_rank,claude_score,factor_consensus,factor_rec_upside,factor_age,factor_volume,factor_team,factor_perf,fppg_ppr,age
Ashton Jeanty,RB,LV,1,1,76.11,23.9,12.0,15.0,15.0,7.0,3.3,14.42,22.0
Travis Etienne,RB,NO,2,2,75.54,22.4,10.0,11.4,12.5,6.6,12.8,14.94,27.0
Jonathan Taylor,RB,IND,3,3,74.33,24.4,12.0,11.4,15.0,5.4,6.2,21.31,27.0
Chase Brown,RB,CIN,4,4,73.09,23.1,10.3,13.2,12.8,9.4,4.4,16.62,26.0
Bijan Robinson,RB,ATL,5,5,72.85,25.0,10.1,15.0,12.6,4.3,5.8,21.81,24.0
Jahmyr Gibbs,RB,DET,6,6,72.33,24.9,9.1,15.0,11.3,6.2,5.8,21.58,24.0
Ja'Marr Chase,WR,CIN,7,1,70.21,24.8,10.4,15.0,5.7,9.4,5.0,19.6,26.0
Christian McCaffrey,RB,SF,8,7,70.09,24.4,11.5,7.8,14.4,4.9,7.1,24.51,29.0
De'Von Achane,RB,MIA,9,8,69.99,24.0,9.6,15.0,12.0,3.9,5.6,20.18,24.0
Javonte Williams,RB,DAL,10,9,68.93,21.6,9.4,13.2,11.8,6.4,6.5,15.18,26.0
Jaxon Smith-Njigba,WR,SEA,11,2,67.74,24.6,13.2,15.0,6.5,1.8,6.6,21.17,24.0
Amon-Ra St. Brown,WR,DET,12,3,66.83,24.3,10.7,15.0,5.6,6.2,5.0,19.06,26.0
Trey McBride,TE,ARI,13,1,66.8,23.1,8.2,15.0,5.0,10.0,5.6,18.58,26.0
Kyren Williams,RB,LAR,14,10,66.63,22.1,9.2,15.0,11.5,4.8,4.1,15.49,25.0
Puka Nacua,WR,LAR,15,4,66.48,24.7,9.9,15.0,5.4,4.8,6.8,23.44,25.0
Breece Hall,RB,NYJ,16,11,66.16,21.9,9.7,15.0,12.1,3.6,3.9,12.98,25.0
James Cook,RB,BUF,17,12,65.77,23.9,9.9,13.2,12.3,1.1,5.3,17.78,26.0
Chris Olave,WR,NO,18,5,65.3,22.0,10.4,15.0,5.2,6.6,6.1,16.75,25.0
Rico Dowdle,RB,PIT,19,13,64.78,15.9,8.4,11.4,10.6,6.5,11.9,12.72,27.0
Rashee Rice,WR,KC,20,6,64.6,22.6,7.6,15.0,5.2,6.6,7.6,18.76,26.0
Quinshon Judkins,RB,CLE,21,14,64.38,19.1,8.0,15.0,10.0,6.3,6.0,12.13,22.0
Garrett Wilson,WR,NYJ,22,7,63.99,21.5,13.5,15.0,6.3,3.6,4.1,14.21,25.0
Michael Wilson,WR,ARI,23,8,62.95,14.8,7.7,15.0,3.4,10.0,12.0,12.98,26.0
Drake London,WR,ATL,24,9,62.57,23.3,10.5,15.0,5.3,4.3,4.3,16.82,24.0
George Pickens,WR,DAL,25,10,62.07,22.3,8.5,15.0,4.0,6.4,5.9,17.17,25.0
Saquon Barkley,RB,PHI,26,15,61.82,23.6,10.8,7.8,13.6,3.0,3.0,14.52,29.0
Justin Jefferson,WR,MIN,27,11,61.67,23.9,10.6,15.0,5.5,4.7,2.0,11.85,26.0
Alec Pierce,WR,IND,28,12,60.91,16.8,8.9,15.0,3.1,5.4,11.7,12.22,26.0
CeeDee Lamb,WR,DAL,29,13,60.58,24.1,9.0,13.2,4.5,6.4,3.4,15.45,27.0
Omarion Hampton,RB,LAC,30,16,60.08,23.4,5.4,15.0,6.7,5.2,4.5,15.08,23.0
Brock Bowers,TE,LV,31,2,60.02,22.8,8.0,14.2,4.2,7.0,3.8,14.68,23.0
Tetairoa McMillan,WR,CAR,32,14,59.69,21.7,10.8,15.0,4.6,4.0,3.7,12.55,23.0
Kyle Pitts,TE,ATL,33,3,58.54,16.2,7.2,15.0,4.0,4.3,11.8,12.4,25.0
Malik Nabers,WR,NYG,34,15,58.21,22.7,10.5,14.2,4.8,2.9,3.0,14.28,22.0
Nico Collins,WR,HOU,35,16,58.05,22.8,9.1,13.2,4.3,5.2,3.4,15.08,27.0
Josh Jacobs,RB,GB,36,17,57.69,22.6,8.5,9.6,10.7,2.4,3.9,15.81,28.0
D'Andre Swift,RB,CHI,37,18,57.61,18.9,8.2,11.4,10.2,4.2,4.7,14.29,27.0
Kyle Monangai,RB,CHI,38,19,57.52,14.5,6.0,15.0,7.5,4.2,10.3,8.63,23.0
Tee Higgins,WR,CIN,39,17,57.28,20.2,7.8,13.2,3.2,9.4,3.4,14.11,27.0
Jaylen Waddle,WR,DEN,40,18,57.13,19.3,10.0,13.2,4.1,6.4,4.1,12.13,27.0
Tony Pollard,RB,TEN,41,20,57.13,16.5,9.6,7.8,12.0,7.9,3.3,10.93,29.0
Wan'Dale Robinson,WR,TEN,42,19,56.97,13.5,8.9,15.0,5.4,7.9,6.2,13.62,25.0
Christian Watson,WR,GB,43,20,56.88,17.2,8.4,13.2,3.6,2.4,12.1,13.24,27.0
Bucky Irving,RB,TB,44,21,56.86,20.1,6.1,15.0,7.7,4.8,3.2,13.85,23.0
Woody Marks,RB,HOU,45,22,56.55,10.3,6.9,15.0,8.7,5.2,10.5,9.07,25.0
Emeka Egbuka,WR,TB,46,21,56.48,19.3,8.8,15.0,4.2,4.8,4.5,11.51,23.0
TreVeyon Henderson,RB,NE,47,23,56.4,19.4,7.0,15.0,8.7,2.7,3.6,12.13,23.0
Jaylen Warren,RB,PIT,48,24,56.1,16.3,7.5,11.4,9.4,6.5,5.0,13.57,27.0
Parker Washington,WR,JAX,49,22,55.45,14.8,6.6,15.0,3.2,4.4,11.4,11.54,24.0
Jameson Williams,WR,DET,50,23,55.31,18.6,8.0,15.0,3.3,6.2,4.3,12.94,25.0
Quentin Johnston,WR,LAC,51,24,55.17,11.9,7.4,15.0,3.6,5.2,12.1,13.17,24.0
Zay Flowers,WR,BAL,52,25,54.98,19.8,10.2,15.0,5.3,0.0,4.7,14.31,25.0
Kenneth Gainwell,RB,TB,53,25,54.97,13.7,5.8,11.4,7.3,4.8,12.0,13.02,27.0
RJ Harvey,RB,DEN,54,26,54.81,15.5,6.2,15.0,7.7,6.4,4.0,12.15,25.0
A.J. Brown,WR,PHI,55,26,54.73,22.1,9.6,11.4,5.1,3.0,3.5,14.69,28.0
Blake Corum,RB,LAR,56,27,54.62,14.5,4.7,15.0,5.9,4.8,9.7,7.19,25.0
Rome Odunze,WR,CHI,57,27,54.49,17.8,8.7,15.0,4.2,4.2,4.5,12.18,23.0
DeVonta Smith,WR,PHI,58,28,54.41,21.7,8.7,13.2,4.4,3.0,3.3,11.87,27.0
Tyler Warren,TE,IND,59,4,53.9,18.6,6.4,15.0,3.8,5.4,4.7,11.09,24.0
Cam Skattebo,RB,NYG,60,28,53.89,19.7,3.8,15.0,4.8,2.9,7.7,15.96,24.0
Tucker Kraft,TE,GB,61,5,53.65,15.3,10.9,15.0,3.4,2.4,6.7,14.65,25.0
Jeremiyah Love,RB,ARI,62,29,53.62,23.2,0.0,13.5,0.0,10.0,6.9,,20.0
Ladd McConkey,WR,LAC,63,29,53.22,19.6,7.3,15.0,3.8,5.2,2.4,11.31,24.0
