player,position,team,fc_rank,fc_pos_rank,fc_value
Bijan Robinson,RB,ATL,1,1,10491
Jahmyr Gibbs,RB,DET,2,2,10303
Ja'Marr Chase,WR,CIN,3,1,9928
Jaxon Smith-Njigba,WR,SEA,4,2,9095
Puka Nacua,WR,LAR,5,3,8896
Justin Jefferson,WR,MIN,6,4,8674
Amon-Ra St. Brown,WR,DET,7,5,8637
Jonathan Taylor,RB,IND,8,3,8262
De'Von Achane,RB,MIA,9,4,8159
Christian McCaffrey,RB,SF,10,5,7990
Ashton Jeanty,RB,LV,11,6,7979
CeeDee Lamb,WR,DAL,12,6,7789
James Cook,RB,BUF,13,7,7755
Omarion Hampton,RB,LAC,14,8,7086
Saquon Barkley,RB,PHI,15,9,6998
Trey McBride,TE,ARI,16,1,6985
Jeremiyah Love,RB,ARI,17,10,6650
Malik Nabers,WR,NYG,18,7,6349
Brock Bowers,TE,LV,19,2,6248
Drake London,WR,ATL,20,8,6241
Kenneth Walker,RB,KC,21,11,6229
Derrick Henry,RB,BAL,22,12,6137
Josh Allen,QB,BUF,23,1,6026
Chase Brown,RB,CIN,24,13,5638
Breece Hall,RB,NYJ,25,14,5531
Josh Jacobs,RB,GB,26,15,4952
Travis Etienne,RB,NO,27,16,4886
Nico Collins,WR,HOU,28,9,4808
Kyren Williams,RB,LAR,29,17,4682
A.J. Brown,WR,PHI,30,10,4591
Tetairoa McMillan,WR,CAR,31,11,4490
TreVeyon Henderson,RB,NE,32,18,4338
George Pickens,WR,DAL,33,12,4336
Garrett Wilson,WR,NYJ,34,13,4218
Chris Olave,WR,NO,35,14,4142
Javonte Williams,RB,DAL,36,19,4075
DeVonta Smith,WR,PHI,37,15,4056
Emeka Egbuka,WR,TB,38,16,3840
Quinshon Judkins,RB,CLE,39,20,3818
Bucky Irving,RB,TB,40,21,3688
Lamar Jackson,QB,BAL,41,2,3621
Jadarian Price,RB,SEA,42,22,3482
Joe Burrow,QB,CIN,43,3,3481
Drake Maye,QB,NE,44,4,3438
Jaylen Waddle,WR,DEN,45,17,3386
Cam Skattebo,RB,NYG,46,23,3382
David Montgomery,RB,HOU,47,24,3334
Tee Higgins,WR,CIN,48,18,3226
Rashee Rice,WR,KC,49,19,3208
Ladd McConkey,WR,LAC,50,20,3136
