overall_rank,player,position,team,fc_rank,fc_pos_rank,fc_value,ffc_adp,ffc_rank,espn_rank,rb_overall_rank,rb_pos_rank,yahoo_rank,yahoo_pos_rank,2025_fppg_ppr,consensus_rank
1,Bijan Robinson,RB,ATL,1,1,10495,1.8,,1.0,2.0,2.0,1.0,1.0,21.81,1.2
2,Jahmyr Gibbs,RB,DET,2,2,10322,5.0,,2.0,1.0,1.0,2.0,2.0,21.58,1.8
3,Ja'Marr Chase,WR,CIN,3,1,9929,1.4,,4.0,4.0,2.0,3.0,1.0,19.6,3.5
4,Puka Nacua,WR,LAR,5,3,8909,10.9,,3.0,3.0,1.0,5.0,3.0,23.44,4.0
5,Jaxon Smith-Njigba,WR,SEA,4,2,9134,32.5,,6.0,5.0,3.0,4.0,2.0,21.17,4.8
6,Christian McCaffrey,RB,SF,10,5,8021,8.1,,5.0,6.0,3.0,7.0,4.0,24.51,7.0
7,Jonathan Taylor,RB,IND,8,3,8238,20.0,,8.0,7.0,4.0,6.0,3.0,21.31,7.2
8,Amon-Ra St. Brown,WR,DET,7,5,8585,10.6,,7.0,9.0,5.0,10.0,5.0,19.06,8.2
9,CeeDee Lamb,WR,DAL,13,6,7766,4.9,,10.0,8.0,4.0,9.0,4.0,15.45,10.0
10,De'Von Achane,RB,MIA,9,4,8092,14.4,,9.0,13.0,7.0,14.0,8.0,20.18,11.2
11,Justin Jefferson,WR,MIN,6,4,8709,4.2,,12.0,11.0,6.0,19.0,7.0,11.85,12.0
12,James Cook,RB,BUF,12,7,7775,34.8,,,,,,,17.78,12.0
13,Ashton Jeanty,RB,LV,11,6,7899,12.3,,11.0,14.0,8.0,13.0,7.0,14.42,12.2
14,Saquon Barkley,RB,PHI,15,9,7066,2.1,,16.0,12.0,6.0,16.0,10.0,14.52,14.8
15,Omarion Hampton,RB,LAC,14,8,7233,41.2,,20.0,20.0,11.0,15.0,9.0,15.08,17.2
16,Drake London,WR,ATL,22,8,6098,14.9,,15.0,16.0,7.0,20.0,8.0,16.82,18.2
17,Jeremiyah Love,RB,ARI,17,10,6645,,,14.0,26.0,13.0,17.0,11.0,,18.5
18,Derrick Henry,RB,BAL,18,11,6338,11.4,,18.0,15.0,9.0,26.0,14.0,16.44,19.2
19,Kenneth Walker,RB,KC,20,12,6258,,,,,,,,,20.0
20,Trey McBride,TE,ARI,16,1,6932,32.7,,22.0,19.0,1.0,24.0,2.0,18.58,20.2
21,Chase Brown,RB,CIN,24,13,5748,19.5,,25.0,21.0,12.0,11.0,6.0,16.62,20.2
22,Brock Bowers,TE,LV,21,2,6212,26.5,,24.0,25.0,2.0,21.0,1.0,14.68,22.8
23,Nico Collins,WR,HOU,28,9,4780,9.8,,19.0,23.0,10.0,22.0,9.0,15.08,23.0
24,Malik Nabers,WR,NYG,19,7,6334,7.1,,21.0,18.0,8.0,35.0,14.0,14.28,23.2
25,Rashee Rice,WR,KC,48,18,3252,94.0,,17.0,22.0,9.0,12.0,6.0,18.76,24.8
26,Josh Jacobs,RB,GB,26,15,4935,16.1,,23.0,27.0,14.0,23.0,13.0,15.81,24.8
27,Travis Etienne,RB,NO,27,16,4829,,,,,,,,14.94,27.0
28,George Pickens,WR,DAL,32,12,4429,59.6,,28.0,24.0,11.0,27.0,10.0,17.17,27.8
29,A.J. Brown,WR,PHI,30,10,4482,17.7,,29.0,31.0,13.0,30.0,11.0,14.69,30.0
30,Kyren Williams,RB,LAR,29,17,4693,24.0,,35.0,28.0,15.0,28.0,15.0,15.49,30.0
31,Chris Olave,WR,NO,36,15,4088,71.4,,26.0,29.0,12.0,31.0,12.0,16.75,30.5
32,Breece Hall,RB,NYJ,25,14,5641,49.1,,27.0,40.0,19.0,34.0,18.0,12.98,31.5
33,DeVonta Smith,WR,PHI,35,14,4115,45.4,,33.0,32.0,14.0,32.0,13.0,11.87,33.0
34,Tetairoa McMillan,WR,CAR,31,11,4429,47.3,,32.0,35.0,16.0,36.0,15.0,12.55,33.5
35,Javonte Williams,RB,DAL,37,19,4083,101.6,,34.0,36.0,17.0,29.0,16.0,15.18,34.0
36,Garrett Wilson,WR,NYJ,34,13,4129,41.6,,31.0,37.0,17.0,41.0,19.0,14.21,35.8
37,Josh Allen,QB,BUF,23,1,6059,23.7,,73.0,30.0,1.0,25.0,1.0,22.79,37.8
38,Tee Higgins,WR,CIN,49,19,3245,21.6,,72.0,34.0,15.0,37.0,16.0,14.11,48.0
39,Bucky Irving,RB,TB,40,21,3652,17.6,,75.0,38.0,18.0,45.0,20.0,13.85,49.5
40,Davante Adams,WR,LAR,54,22,2849,26.7,,74.0,39.0,18.0,38.0,17.0,15.92,51.2
41,Lamar Jackson,QB,BAL,41,2,3589,23.1,,79.0,47.0,2.0,40.0,2.0,16.53,51.8
42,Zay Flowers,WR,BAL,56,23,2752,57.1,,69.0,41.0,19.0,43.0,20.0,14.31,52.2
43,Cam Skattebo,RB,NYG,43,22,3435,131.2,,71.0,52.0,21.0,46.0,21.0,15.96,53.0
44,Ladd McConkey,WR,LAC,50,20,3140,23.9,,80.0,43.0,21.0,44.0,21.0,11.31,54.2
45,TreVeyon Henderson,RB,NE,33,18,4316,51.3,,84.0,55.0,23.0,51.0,23.0,12.13,55.8
46,Colston Loveland,TE,CHI,52,4,2947,147.1,,77.0,48.0,3.0,47.0,3.0,10.32,56.0
47,Jaylen Waddle,WR,DEN,47,17,3287,64.8,,82.0,49.0,24.0,50.0,23.0,12.13,57.0
48,Terry McLaurin,WR,WAS,65,28,2181,36.8,,70.0,45.0,22.0,49.0,22.0,11.42,57.2
49,Emeka Egbuka,WR,TB,39,16,3841,84.6,,81.0,50.0,25.0,59.0,27.0,11.51,57.2
50,Quinshon Judkins,RB,CLE,38,20,3942,125.2,,78.0,56.0,24.0,63.0,24.0,12.13,58.8
51,D'Andre Swift,RB,CHI,55,25,2781,58.1,,94.0,44.0,20.0,48.0,22.0,14.29,60.2
52,Carnell Tate,WR,TEN,63,26,2282,,,76.0,61.0,29.0,52.0,24.0,,63.0
53,Tyler Warren,TE,IND,51,3,3016,98.2,,83.0,67.0,4.0,54.0,4.0,11.09,63.8
54,Jameson Williams,WR,DET,69,30,1978,61.7,,85.0,46.0,23.0,55.0,26.0,12.94,63.8
55,Marvin Harrison Jr,WR,ARI,64,27,2265,,,,,,,,,64.0
56,David Montgomery,RB,HOU,45,23,3391,59.5,,96.0,54.0,22.0,65.0,26.0,9.82,65.0
57,DJ Moore,WR,BUF,59,24,2517,44.6,,87.0,53.0,27.0,62.0,30.0,10.13,65.2
58,Jayden Daniels,QB,WAS,58,6,2679,31.4,,89.0,58.0,3.0,57.0,4.0,16.33,65.5
59,Jadarian Price,RB,SEA,46,24,3370,,,86.0,59.0,26.0,72.0,27.0,,65.8
60,Drake Maye,QB,NE,44,4,3402,107.7,,101.0,63.0,4.0,56.0,3.0,20.7,66.0
61,Chuba Hubbard,RB,CAR,62,26,2312,40.8,,97.0,64.0,27.0,42.0,19.0,8.36,66.2
62,Joe Burrow,QB,CIN,42,3,3438,30.9,,102.0,74.0,5.0,58.0,5.0,16.81,69.0
63,Brian Thomas,WR,JAX,70,31,1900,,,,,,,,,70.0
64,Rome Odunze,WR,CHI,53,21,2856,79.3,,90.0,76.0,36.0,67.0,31.0,12.18,71.5
65,Luther Burden,WR,CHI,72,32,1766,,,,,,,,,72.0
66,Mike Evans,WR,SF,60,25,2514,28.9,,107.0,51.0,26.0,70.0,32.0,10.6,72.0
67,Jordyn Tyson,WR,NO,68,29,2028,,,100.0,66.0,32.0,61.0,29.0,,73.8
68,Bhayshul Tuten,RB,JAX,85,32,1322,150.5,,93.0,57.0,25.0,64.0,25.0,5.91,74.8
69,Christian Watson,WR,GB,82,35,1400,,,115.0,60.0,28.0,53.0,25.0,13.24,77.5
70,Jalen Hurts,QB,PHI,71,9,1851,37.4,,103.0,75.0,6.0,68.0,6.0,18.82,79.2
71,Alec Pierce,WR,IND,87,36,1271,,,104.0,62.0,30.0,71.0,33.0,12.22,81.0
72,DK Metcalf,WR,PIT,81,34,1466,38.2,,106.0,71.0,35.0,76.0,35.0,12.48,83.5
73,Tony Pollard,RB,TEN,78,30,1572,57.3,,111.0,73.0,30.0,74.0,29.0,10.93,84.0
74,Courtland Sutton,WR,DEN,91,38,1127,48.1,,108.0,65.0,31.0,77.0,36.0,12.92,85.2
75,Aaron Jones,RB,MIN,86,33,1297,,,,,,,,9.89,86.0
76,Jaylen Warren,RB,PIT,75,28,1683,76.0,,116.0,82.0,32.0,73.0,28.0,13.57,86.5
77,Kyle Pitts,TE,ATL,80,8,1497,,,,92.0,8.0,88.0,7.0,12.4,86.7
78,Michael Pittman,WR,PIT,89,37,1219,,,,,,,,11.91,89.0
79,Rico Dowdle,RB,PIT,74,27,1735,,,125.0,78.0,31.0,81.0,31.0,12.72,89.5
80,Makai Lemon,WR,PHI,77,33,1649,,,128.0,95.0,42.0,60.0,28.0,,90.0
81,Rhamondre Stevenson,RB,NE,83,31,1368,122.1,,129.0,72.0,29.0,80.0,30.0,12.77,91.0
82,RJ Harvey,RB,DEN,76,29,1653,63.4,,135.0,68.0,28.0,97.0,35.0,12.15,94.0
83,Sam LaPorta,TE,DET,79,7,1500,63.6,,113.0,91.0,7.0,93.0,8.0,11.88,94.0
84,Tucker Kraft,TE,GB,67,5,2053,115.7,,165.0,85.0,6.0,66.0,5.0,14.65,95.8
85,Jaxson Dart,QB,NYG,101,13,880,,,114.0,86.0,9.0,86.0,9.0,17.26,96.8
86,Caleb Williams,QB,CHI,61,7,2463,98.3,,171.0,79.0,7.0,85.0,8.0,18.72,99.0
87,Michael Wilson,WR,ARI,111,43,637,,,134.0,77.0,37.0,79.0,38.0,12.98,100.2
88,Parker Washington,WR,JAX,130,50,410,,,119.0,69.0,33.0,84.0,39.0,11.54,100.5
89,J.K. Dobbins,RB,DEN,92,34,1106,94.0,,126.0,93.0,33.0,91.0,34.0,11.59,100.5
90,Jakobi Meyers,WR,JAX,103,40,838,73.6,,118.0,87.0,40.0,95.0,41.0,11.96,100.8
91,Dak Prescott,QB,DAL,84,10,1356,87.2,,144.0,89.0,11.0,90.0,10.0,18.46,101.8
92,Justin Herbert,QB,LAC,66,8,2128,109.8,,188.0,84.0,8.0,69.0,7.0,17.93,101.8
93,Kyle Monangai,RB,CHI,100,40,916,,,137.0,94.0,34.0,82.0,32.0,8.63,103.2
94,Blake Corum,RB,LAR,97,38,1025,,,139.0,96.0,35.0,83.0,33.0,7.19,103.8
95,Tyrone Tracy,RB,NYG,105,42,773,,,,,,,,,105.0
96,Chris Godwin,WR,TB,106,41,767,,,,,,,,,106.0
