round,pick_in_round,overall_pick,player,position,team,adp
1,1,1,Jahmyr Gibbs,RB,DET,1.5
1,2,2,Bijan Robinson,RB,ATL,1.5
1,3,3,Ja'Marr Chase,WR,CIN,3.0
1,4,4,Puka Nacua,WR,LAR,4.0
1,5,5,Jaxon Smith-Njigba,WR,SEA,5.0
1,6,6,Christian McCaffrey,RB,SF,6.0
1,7,7,Jonathan Taylor,RB,IND,7.5
1,8,8,Amon-Ra St. Brown,WR,DET,7.5
1,9,9,CeeDee Lamb,WR,DAL,10.0
1,10,10,James Cook III,RB,BUF,10.5
1,11,11,Justin Jefferson,WR,MIN,11.0
1,12,12,Ashton Jeanty,RB,LV,11.0
2,1,13,De'Von Achane,RB,MIA,12.5
2,2,14,Saquon Barkley,RB,PHI,15.0
2,3,15,Omarion Hampton,RB,LAC,16.5
2,4,16,Kenneth Walker III,RB,KC,16.5
2,5,17,Chase Brown,RB,CIN,16.5
2,6,18,Rashee Rice,WR,KC,18.5
2,7,19,Drake London,WR,ATL,18.5
2,8,20,Trey McBride,TE,ARI,19.5
2,9,21,Jeremiyah Love,RB,ARI,21.5
2,10,22,Derrick Henry,RB,BAL,21.5
2,11,23,Brock Bowers,TE,LV,22.0
2,12,24,Nico Collins,WR,HOU,25.0
3,1,25,Malik Nabers,WR,NYG,25.0
3,2,26,George Pickens,WR,DAL,26.0
3,3,27,A.J. Brown,WR,PHI,28.0
3,4,28,Josh Jacobs,RB,GB,28.0
3,5,29,Josh Allen,QB,BUF,29.0
3,6,30,Chris Olave,WR,NO,29.5
3,7,31,Kyren Williams,RB,LAR,32.0
3,8,32,Breece Hall,RB,NYJ,32.0
3,9,33,Travis Etienne Jr.,RB,NO,33.5
3,10,34,DeVonta Smith,WR,PHI,35.0
3,11,35,Garrett Wilson,WR,NYJ,35.5
3,12,36,Tetairoa McMillan,WR,CAR,35.5
4,1,37,Javonte Williams,RB,DAL,36.0
4,2,38,Tee Higgins,WR,CIN,37.0
4,3,39,Zay Flowers,WR,BAL,37.5
4,4,40,Ladd McConkey,WR,LAC,40.5
4,5,41,Bucky Irving,RB,TB,43.0
4,6,42,Emeka Egbuka,WR,TB,43.5
4,7,43,Luther Burden III,WR,CHI,43.5
4,8,44,Colston Loveland,TE,CHI,44.5
4,9,45,Cam Skattebo,RB,NYG,45.0
4,10,46,TreVeyon Henderson,RB,NE,47.5
4,11,47,Lamar Jackson,QB,BAL,48.0
4,12,48,Davante Adams,WR,LAR,48.0
5,1,49,David Montgomery,RB,HOU,50.0
5,2,50,Terry McLaurin,WR,WAS,51.5
5,3,51,Jameson Williams,WR,DET,51.5
5,4,52,Jaylen Waddle,WR,DEN,52.0
5,5,53,D'Andre Swift,RB,CHI,53.0
5,6,54,DJ Moore,WR,BUF,54.0
5,7,55,Quinshon Judkins,RB,CLE,54.0
5,8,56,Mike Evans,WR,SF,56.5
5,9,57,Rome Odunze,WR,CHI,57.0
5,10,58,Joe Burrow,QB,CIN,57.5
5,11,59,Christian Watson,WR,GB,57.5
5,12,60,Drake Maye,QB,NE,58.0
6,1,61,Jadarian Price,RB,SEA,62.0
6,2,62,Bhayshul Tuten,RB,JAC,62.0
6,3,63,Chuba Hubbard,RB,CAR,63.5
6,4,64,Carnell Tate,WR,TEN,63.5
6,5,65,Jayden Daniels,QB,WAS,64.0
6,6,66,Tyler Warren,TE,IND,64.5
6,7,67,Marvin Harrison Jr.,WR,ARI,67.5
6,8,68,Caleb Williams,QB,CHI,69.0
6,9,69,Jalen Hurts,QB,PHI,70.5
6,10,70,Jordyn Tyson,WR,NO,72.0
6,11,71,Jaylen Warren,RB,PIT,74.0
6,12,72,Brian Thomas Jr.,WR,JAC,75.0
7,1,73,DK Metcalf,WR,PIT,75.0
7,2,74,RJ Harvey,RB,DEN,75.5
7,3,75,Parker Washington,WR,JAC,76.0
7,4,76,Alec Pierce,WR,IND,76.5
7,5,77,Courtland Sutton,WR,DEN,77.5
7,6,78,Rhamondre Stevenson,RB,NE,78.0
7,7,79,Trevor Lawrence,QB,JAC,78.5
7,8,80,Dak Prescott,QB,DAL,79.0
7,9,81,Justin Herbert,QB,LAC,79.5
7,10,82,Tony Pollard,RB,TEN,80.0
7,11,83,Harold Fannin Jr.,TE,CLE,81.5
7,12,84,Jaxson Dart,QB,NYG,82.0
8,1,85,Makai Lemon,WR,PHI,84.0
8,2,86,Tucker Kraft,TE,GB,84.0
8,3,87,Michael Wilson,WR,ARI,86.0
8,4,88,Rico Dowdle,RB,PIT,89.0
8,5,89,Patrick Mahomes II,QB,KC,92.0
