team,position,avg_opp_pts_allowed,games_rated,sos_2026_rank,difficulty
PHI,QB,14.5,16,1,EASY
CLE,QB,14.49,18,2,EASY
WAS,QB,14.42,18,3,EASY
MIN,QB,14.18,18,4,EASY
CIN,QB,13.96,18,5,EASY
BUF,QB,13.96,17,5,EASY
DAL,QB,13.94,17,7,EASY
ATL,QB,13.87,19,8,EASY
IND,QB,13.86,18,9,BELOW AVG
CAR,QB,13.85,17,10,BELOW AVG
TEN,QB,13.61,18,11,BELOW AVG
BAL,QB,13.59,19,12,BELOW AVG
NO,QB,13.58,18,13,BELOW AVG
GB,QB,13.5,16,14,BELOW AVG
HOU,QB,13.49,17,15,BELOW AVG
NYJ,QB,13.49,16,15,BELOW AVG
NYG,QB,13.45,17,17,ABOVE AVG
LAR,QB,13.38,18,18,ABOVE AVG
CHI,QB,13.36,17,19,ABOVE AVG
MIA,QB,13.2,18,20,ABOVE AVG
KC,QB,13.19,17,21,ABOVE AVG
JAX,QB,13.17,18,22,ABOVE AVG
SF,QB,13.07,14,23,ABOVE AVG
LAC,QB,13.0,17,24,ABOVE AVG
NE,QB,12.9,18,25,HARD
ARI,QB,12.9,17,25,HARD
TB,QB,12.87,18,27,HARD
LV,QB,12.81,16,28,HARD
DET,QB,12.74,18,29,HARD
SEA,QB,12.61,15,30,HARD
PIT,QB,12.5,17,31,HARD
DEN,QB,12.33,17,32,HARD
NYG,RB,8.08,17,1,EASY
PIT,RB,7.98,17,2,EASY
ATL,RB,7.97,19,3,EASY
WAS,RB,7.88,18,4,EASY
DET,RB,7.87,18,5,EASY
NYJ,RB,7.75,16,6,EASY
DAL,RB,7.74,17,7,EASY
JAX,RB,7.73,18,8,EASY
CLE,RB,7.71,18,9,BELOW AVG
TEN,RB,7.71,18,9,BELOW AVG
HOU,RB,7.7,17,11,BELOW AVG
NO,RB,7.69,18,12,BELOW AVG
GB,RB,7.63,16,13,BELOW AVG
MIA,RB,7.6,18,14,BELOW AVG
MIN,RB,7.57,18,15,BELOW AVG
SEA,RB,7.56,15,16,BELOW AVG
CIN,RB,7.56,18,16,BELOW AVG
PHI,RB,7.56,16,16,BELOW AVG
LAR,RB,7.54,18,19,ABOVE AVG
CHI,RB,7.54,17,19,ABOVE AVG
SF,RB,7.52,14,21,ABOVE AVG
NE,RB,7.51,18,22,ABOVE AVG
TB,RB,7.47,18,23,ABOVE AVG
IND,RB,7.46,18,24,ABOVE AVG
BAL,RB,7.44,19,25,HARD
CAR,RB,7.35,17,26,HARD
ARI,RB,7.34,17,27,HARD
KC,RB,7.34,17,27,HARD
BUF,RB,7.3,17,29,HARD
LAC,RB,7.25,17,30,HARD
LV,RB,7.24,16,31,HARD
DEN,RB,7.23,17,32,HARD
SF,TE,5.95,14,1,EASY
HOU,TE,5.86,17,2,EASY
ATL,TE,5.86,19,2,EASY
LAC,TE,5.85,17,4,EASY
BUF,TE,5.84,17,5,EASY
NYG,TE,5.78,17,6,EASY
MIA,TE,5.77,18,7,EASY
CLE,TE,5.73,18,8,EASY
KC,TE,5.66,17,9,BELOW AVG
LV,TE,5.62,16,10,BELOW AVG
PHI,TE,5.62,16,10,BELOW AVG
WAS,TE,5.6,18,12,BELOW AVG
CIN,TE,5.59,18,13,BELOW AVG
BAL,TE,5.59,19,13,BELOW AVG
IND,TE,5.58,18,15,BELOW AVG
JAX,TE,5.57,18,16,BELOW AVG
NYJ,TE,5.57,16,16,BELOW AVG
LAR,TE,5.53,18,18,ABOVE AVG
TEN,TE,5.52,18,19,ABOVE AVG
PIT,TE,5.48,17,20,ABOVE AVG
CHI,TE,5.46,17,21,ABOVE AVG
ARI,TE,5.46,17,21,ABOVE AVG
MIN,TE,5.46,18,21,ABOVE AVG
NE,TE,5.43,18,24,ABOVE AVG
DAL,TE,5.41,17,25,HARD
CAR,TE,5.38,17,26,HARD
DEN,TE,5.38,17,26,HARD
SEA,TE,5.31,15,28,HARD
GB,TE,5.31,16,28,HARD
DET,TE,5.24,18,30,HARD
NO,TE,5.18,18,31,HARD
TB,TE,5.08,18,32,HARD
PHI,WR,7.22,16,1,EASY
WAS,WR,7.05,18,2,EASY
CAR,WR,6.92,17,3,EASY
HOU,WR,6.92,17,3,EASY
NYJ,WR,6.9,16,5,EASY
CLE,WR,6.86,18,6,EASY
GB,WR,6.86,16,6,EASY
NYG,WR,6.8,17,8,EASY
DAL,WR,6.8,17,8,EASY
BAL,WR,6.78,19,10,BELOW AVG
TEN,WR,6.78,18,10,BELOW AVG
NO,WR,6.74,18,12,BELOW AVG
JAX,WR,6.74,18,12,BELOW AVG
BUF,WR,6.73,17,14,BELOW AVG
CHI,WR,6.71,17,15,BELOW AVG
IND,WR,6.66,18,16,BELOW AVG
MIA,WR,6.66,18,16,BELOW AVG
MIN,WR,6.66,18,16,BELOW AVG
CIN,WR,6.65,18,19,ABOVE AVG
SEA,WR,6.64,15,20,ABOVE AVG
SF,WR,6.64,14,20,ABOVE AVG
LAR,WR,6.61,18,22,ABOVE AVG
DET,WR,6.58,18,23,ABOVE AVG
TB,WR,6.56,18,24,ABOVE AVG
KC,WR,6.56,17,24,ABOVE AVG
ATL,WR,6.55,19,26,HARD
ARI,WR,6.52,17,27,HARD
DEN,WR,6.48,17,28,HARD
PIT,WR,6.47,17,29,HARD
NE,WR,6.4,18,30,HARD
LAC,WR,6.39,17,31,HARD
LV,WR,6.33,16,32,HARD
