player,position,team,yahoo_rank,yahoo_pos_rank
Bijan Robinson,RB,ATL,1,1
Jahmyr Gibbs,RB,DET,2,2
Ja'Marr Chase,WR,CIN,3,1
Jaxon Smith-Njigba,WR,SEA,4,2
Puka Nacua,WR,LAR,5,3
Jonathan Taylor,RB,IND,6,3
Christian McCaffrey,RB,SF,7,4
James Cook III,RB,BUF,8,5
CeeDee Lamb,WR,DAL,9,4
Amon-Ra St. Brown,WR,DET,10,5
Chase Brown,RB,CIN,11,6
Rashee Rice,WR,KC,12,6
Ashton Jeanty,RB,LV,13,7
De'Von Achane,RB,MIA,14,8
Omarion Hampton,RB,LAC,15,9
Saquon Barkley,RB,PHI,16,10
Jeremiyah Love,RB,ARI,17,11
Kenneth Walker III,RB,KC,18,12
Justin Jefferson,WR,MIN,19,7
Drake London,WR,ATL,20,8
Brock Bowers,TE,LV,21,1
Nico Collins,WR,HOU,22,9
Josh Jacobs,RB,GB,23,13
Trey McBride,TE,ARI,24,2
Josh Allen,QB,BUF,25,1
Derrick Henry,RB,BAL,26,14
George Pickens,WR,DAL,27,10
Kyren Williams,RB,LAR,28,15
Javonte Williams,RB,DAL,29,16
A.J. Brown,WR,PHI,30,11
Chris Olave,WR,NO,31,12
DeVonta Smith,WR,PHI,32,13
Travis Etienne Jr.,RB,NO,33,17
Breece Hall,RB,NYJ,34,18
Malik Nabers,WR,NYG,35,14
Tetairoa McMillan,WR,CAR,36,15
Tee Higgins,WR,CIN,37,16
Davante Adams,WR,LAR,38,17
Luther Burden III,WR,CHI,39,18
Lamar Jackson,QB,BAL,40,2
Garrett Wilson,WR,NYJ,41,19
Chuba Hubbard,RB,CAR,42,19
Zay Flowers,WR,BAL,43,20
Ladd McConkey,WR,LAC,44,21
Bucky Irving,RB,TB,45,20
Cam Skattebo,RB,NYG,46,21
Colston Loveland,TE,CHI,47,3
D'Andre Swift,RB,CHI,48,22
Terry McLaurin,WR,WSH,49,22
Jaylen Waddle,WR,DEN,50,23
TreVeyon Henderson,RB,NE,51,23
Carnell Tate,WR,TEN,52,24
Christian Watson,WR,GB,53,25
Tyler Warren,TE,IND,54,4
Jameson Williams,WR,DET,55,26
Drake Maye,QB,NE,56,3
Jayden Daniels,QB,WSH,57,4
Joe Burrow,QB,CIN,58,5
Emeka Egbuka,WR,TB,59,27
Makai Lemon,WR,PHI,60,28
Jordyn Tyson,WR,NO,61,29
DJ Moore,WR,BUF,62,30
Quinshon Judkins,RB,CLE,63,24
Bhayshul Tuten,RB,JAX,64,25
David Montgomery,RB,HOU,65,26
Tucker Kraft,TE,GB,66,5
Rome Odunze,WR,CHI,67,31
Jalen Hurts,QB,PHI,68,6
Justin Herbert,QB,LAC,69,7
Mike Evans,WR,SF,70,32
Alec Pierce,WR,IND,71,33
Jadarian Price,RB,SEA,72,27
Jaylen Warren,RB,PIT,73,28
Tony Pollard,RB,TEN,74,29
Chris Godwin Jr.,WR,TB,75,34
DK Metcalf,WR,PIT,76,35
Courtland Sutton,WR,DEN,77,36
Marvin Harrison Jr.,WR,ARI,78,37
Michael Wilson,WR,ARI,79,38
Rhamondre Stevenson,RB,NE,80,30
Rico Dowdle,RB,PIT,81,31
Kyle Monangai,RB,CHI,82,32
Blake Corum,RB,LAR,83,33
Parker Washington,WR,JAX,84,39
Caleb Williams,QB,CHI,85,8
Jaxson Dart,QB,NYG,86,9
Harold Fannin Jr.,TE,CLE,87,6
Kyle Pitts,TE,ATL,88,7
Ricky Pearsall,WR,SF,89,40
Dak Prescott,QB,DAL,90,10
J.K. Dobbins,RB,DEN,91,34
Bo Nix,QB,DEN,92,11
Sam LaPorta,TE,DET,93,8
Trevor Lawrence,QB,JAX,94,12
Jakobi Meyers,WR,JAX,95,41
Travis Kelce,TE,KC,96,9
RJ Harvey,RB,DEN,97,35
Jacory Croskey-Merritt,RB,WSH,98,36
Wan'Dale Robinson,WR,TEN,99,42
Rachaad White,RB,WSH,100,37
Brian Thomas Jr.,WR,JAX,101,43
Jayden Reed,WR,GB,102,44
Jordan Addison,WR,MIN,103,45
Kenneth Gainwell,RB,TB,104,38
Chris Rodriguez Jr.,RB,JAX,105,39
Isaiah Likely,TE,NYG,106,10
Aaron Jones Sr.,RB,MIN,107,40
KC Concepcion,WR,CLE,108,46
Michael Pittman Jr.,WR,PIT,109,47
Quentin Johnston,WR,LAC,110,48
Brock Purdy,QB,SF,111,13
Jordan Mason,RB,MIN,112,41
Jalen Coker,WR,CAR,113,49
Josh Downs,WR,IND,114,50
Kyler Murray,QB,MIN,115,14
Dalton Kincaid,TE,BUF,116,11
George Kittle,TE,SF,117,12
Tyrone Tracy Jr.,RB,NYG,118,42
Romeo Doubs,WR,NE,119,51
Stefon Diggs,WR,FA,120,52
Omar Cooper Jr.,WR,NYJ,121,53
Jayden Higgins,WR,HOU,122,54
Jalen McMillan,WR,TB,123,55
Jake Ferguson,TE,DAL,124,13
Patrick Mahomes,QB,KC,125,15
Jonah Coleman,RB,DEN,126,43
Tyler Allgeier,RB,ARI,127,44
Jonathon Brooks,RB,CAR,128,45
Keaton Mitchell,RB,LAC,129,46
Nicholas Singleton,RB,TEN,130,47
Kaytron Allen,RB,WSH,131,48
Brian Robinson Jr.,RB,ATL,132,49
Emmett Johnson,RB,KC,133,50
Zach Charbonnet,RB,SEA,134,51
Travis Hunter,WR,JAX,135,56
Dallas Goedert,TE,PHI,136,14
Hunter Henry,TE,NE,137,15
Xavier Worthy,WR,KC,138,57
Isiah Pacheco,RB,DET,139,52
Dylan Sampson,RB,CLE,140,53
Woody Marks,RB,HOU,141,54
Emanuel Wilson,RB,SEA,142,55
Braelon Allen,RB,NYJ,143,56
Chig Okonkwo,TE,WSH,144,16
Denzel Boston,WR,CLE,145,58
Khalil Shakir,WR,BUF,146,59
Matthew Golden,WR,GB,147,60
Mark Andrews,TE,BAL,148,17
Tank Bigsby,RB,PHI,149,57
Ray Davis,RB,BUF,150,58
Matthew Stafford,QB,LAR,151,16
Tyler Shough,QB,NO,152,17
Rashid Shaheed,WR,SEA,153,61
Jauan Jennings,WR,MIN,154,62
Deebo Samuel Sr.,WR,FA,155,63
Tre Tucker,WR,LV,156,64
Jalen Nailor,WR,LV,157,65
Antonio Williams,WR,WSH,158,66
Malik Willis,QB,MIA,159,18
Demond Claiborne,RB,MIN,160,59
Mike Washington Jr.,RB,LV,161,60
Jaylen Wright,RB,MIA,162,61
Jared Goff,QB,DET,163,19
Baker Mayfield,QB,TB,164,20
Jordan Love,QB,GB,165,21
Brenton Strange,TE,JAX,166,18
Oronde Gadsden II,TE,LAC,167,19
Tyjae Spears,RB,TEN,168,62
Najee Harris,RB,LAC,169,63
Jordan James,RB,SF,170,64
James Conner,RB,ARI,171,65
Alvin Kamara,RB,NO,172,66
Brandon Aiyuk,WR,SF,173,67
Houston Texans,DST,HOU,174,1
Sean Tucker,RB,TB,175,67
Jaydon Blue,RB,DAL,176,68
Chris Brooks,RB,GB,177,69
Seattle Seahawks,DST,SEA,178,2
Brandon Aubrey,K,DAL,179,1
Justice Hill,RB,BAL,180,70
Kaelon Black,RB,SF,181,71
Sam Darnold,QB,SEA,182,22
Denver Broncos,DST,DEN,183,3
Kayshon Boutte,WR,NE,184,68
Adonai Mitchell,WR,NYJ,185,69
Jerry Jeudy,WR,CLE,186,70
Isaac TeSlaa,WR,DET,187,71
Malik Washington,WR,MIA,188,72
Pat Bryant,WR,DEN,189,73
Ryan Flournoy,WR,DAL,190,74
