rank,player_display_name,recent_team,games,passing_yards,passing_tds,interceptions,comp_pct,yards_per_attempt,td_rate,sacks,carries,rushing_yards,rushing_tds,fppg,fppg_ppr
1,Lamar Jackson,BAL,19,4601.0,45,5.0,0.673,8.85,0.087,26.0,160,1035.0,4,24.82,24.82
2,Josh Allen,BUF,19,4367.0,32,6.0,0.646,7.73,0.057,19.0,131,636.0,14,23.07,23.07
3,Joe Burrow,CIN,17,4918.0,43,9.0,0.706,7.54,0.066,48.0,42,201.0,2,21.93,21.93
4,Jalen Hurts,PHI,19,3629.0,23,6.0,0.692,8.03,0.051,51.0,184,824.0,19,21.66,21.66
5,Jayden Daniels,WAS,20,4390.0,30,10.0,0.684,7.39,0.051,51.0,183,1026.0,7,21.41,21.41
6,Baker Mayfield,TB,18,4685.0,43,16.0,0.718,7.97,0.073,41.0,67,401.0,3,21.19,21.19
7,Jared Goff,DET,18,4942.0,38,15.0,0.713,8.54,0.066,33.0,36,63.0,0,18.48,18.54
8,Bo Nix,DEN,18,3919.0,30,12.0,0.66,6.65,0.051,26.0,96,473.0,4,18.35,18.4
9,Patrick Mahomes,KC,19,4607.0,31,13.0,0.673,6.94,0.047,47.0,80,389.0,4,18.28,18.34
10,Brock Purdy,SF,15,3864.0,20,12.0,0.659,8.49,0.044,31.0,66,323.0,5,17.79,17.79
11,Sam Darnold,MIN,18,4564.0,36,13.0,0.66,7.8,0.062,57.0,71,231.0,1,17.76,17.76
12,Kyler Murray,ARI,17,3851.0,21,11.0,0.688,7.12,0.039,30.0,78,572.0,5,17.48,17.48
13,Tua Tagovailoa,MIA,11,2867.0,19,7.0,0.729,7.19,0.048,21.0,17,49.0,0,16.51,16.51
14,Justin Herbert,LAC,18,4112.0,24,7.0,0.646,7.67,0.045,45.0,69,306.0,2,16.17,16.17
15,Russell Wilson,PIT,12,2752.0,18,5.0,0.641,7.54,0.049,37.0,46,161.0,2,16.02,16.02
16,Geno Smith,SEA,17,4320.0,21,15.0,0.704,7.47,0.036,50.0,53,272.0,2,15.65,15.65
17,Derek Carr,NO,10,2145.0,15,5.0,0.677,7.69,0.054,8.0,17,71.0,1,15.09,15.09
18,Aaron Rodgers,NYJ,17,3897.0,28,11.0,0.63,6.67,0.048,40.0,22,107.0,0,15.09,15.09
19,Caleb Williams,CHI,17,3541.0,20,6.0,0.625,6.3,0.036,68.0,81,489.0,0,14.97,14.97
20,Anthony Richardson,IND,11,1814.0,8,12.0,0.477,6.87,0.03,14.0,86,499.0,6,14.76,14.85
21,Jordan Love,GB,16,3601.0,25,14.0,0.629,7.86,0.055,16.0,27,93.0,1,14.83,14.83
22,Trevor Lawrence,JAX,10,2045.0,11,7.0,0.606,7.2,0.039,18.0,26,119.0,3,14.57,14.57
23,Dak Prescott,DAL,8,1978.0,11,8.0,0.647,6.92,0.038,21.0,13,54.0,1,14.57,14.57
24,Joe Flacco,IND,7,1761.0,12,7.0,0.653,7.1,0.048,18.0,9,26.0,0,14.15,14.15
25,Bryce Young,CAR,14,2403.0,15,9.0,0.609,6.26,0.039,29.0,43,249.0,6,13.93,13.93
26,Matthew Stafford,LA,18,4295.0,24,8.0,0.655,7.3,0.041,35.0,34,45.0,0,13.91,13.91
27,Drake Maye,NE,13,2276.0,15,10.0,0.666,6.73,0.044,34.0,54,421.0,2,13.63,13.63
28,Daniel Jones,NYG,10,2070.0,8,7.0,0.633,6.07,0.023,29.0,67,265.0,2,13.53,13.53
29,C.J. Stroud,HOU,19,4254.0,21,13.0,0.636,7.17,0.035,63.0,64,317.0,0,13.26,13.26
30,Kirk Cousins,ATL,14,3508.0,18,16.0,0.669,7.74,0.04,28.0,23,0.0,0,12.59,12.59
31,Tyler Huntley,MIA,5,829.0,3,3.0,0.647,6.23,0.023,15.0,26,135.0,2,12.13,12.13
32,Mason Rudolph,TEN,8,1530.0,9,9.0,0.64,6.71,0.039,11.0,25,106.0,1,11.98,11.98
33,Jameis Winston,CLE,11,2121.0,13,12.0,0.611,7.17,0.044,24.0,25,83.0,1,11.92,11.92
34,Drew Lock,NYG,7,1071.0,6,5.0,0.591,5.92,0.033,12.0,18,133.0,2,11.45,11.45
35,Deshaun Watson,CLE,7,1148.0,5,3.0,0.634,5.31,0.023,33.0,31,148.0,1,10.96,10.96
36,Justin Fields,PIT,11,1106.0,5,1.0,0.654,6.83,0.031,16.0,62,289.0,5,10.83,10.83
37,Aidan O'Connell,LV,9,1612.0,8,4.0,0.634,6.63,0.033,10.0,21,30.0,1,10.39,10.39
38,Will Levis,TEN,12,2091.0,13,12.0,0.631,6.95,0.043,41.0,45,183.0,0,10.0,10.0
39,Andy Dalton,CAR,6,989.0,7,6.0,0.662,6.18,0.044,7.0,11,34.0,0,9.83,9.83
40,Gardner Minshew,LV,10,2013.0,9,10.0,0.663,6.58,0.029,29.0,19,58.0,0,9.63,9.63
41,Mac Jones,JAX,10,1672.0,8,8.0,0.653,6.38,0.031,14.0,28,92.0,1,9.61,9.61
