rank,player_display_name,recent_team,games,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,catch_rate,yac_per_rec,avg_snap_pct,fppg,fppg_ppr
1,Saquon Barkley,PHI,20,436,2504.0,18,5.74,58,46,353.0,2,0.12987283,0.793,7.33,0.751,20.49,22.79
2,Jahmyr Gibbs,DET,18,264,1517.0,18,5.75,74,58,567.0,3,0.1387309,0.784,10.76,0.5638888888888889,18.47,21.69
3,Bijan Robinson,ATL,17,304,1456.0,14,4.79,72,61,431.0,1,0.14079246,0.847,8.7,0.7535294117647059,16.51,20.1
4,Derrick Henry,BAL,19,367,2191.0,19,5.97,24,19,193.0,2,0.069837466,0.792,11.37,0.5768421052631578,19.07,20.07
5,Alvin Kamara,NO,14,228,950.0,6,4.17,89,68,543.0,2,0.212745,0.764,7.97,0.7085714285714285,14.09,18.95
6,Devon Achane,MIA,17,203,907.0,6,4.47,87,78,592.0,6,0.16224483,0.897,8.53,,13.05,17.64
7,Jonathan Taylor,IND,14,303,1431.0,11,4.72,31,18,136.0,1,0.094797306,0.581,8.33,0.8028571428571428,16.34,17.62
8,Josh Jacobs,GB,18,319,1410.0,16,4.42,46,39,382.0,1,0.10775133,0.848,11.21,0.6333333333333333,15.29,17.46
9,Joe Mixon,HOU,16,288,1210.0,13,4.2,57,39,334.0,1,0.12552884,0.684,9.85,0.6175,14.77,17.21
10,James Cook,BUF,19,260,1281.0,19,4.93,44,38,322.0,2,0.09925134,0.864,8.84,0.47631578947368425,15.07,17.07
11,Kyren Williams,LA,18,351,1481.0,14,4.22,45,38,197.0,3,0.09441008,0.844,5.68,0.8716666666666666,14.54,16.66
12,Kenneth Walker,SEA,11,153,573.0,7,3.75,53,46,299.0,1,0.1367009,0.868,7.89,,12.29,16.47
13,Chuba Hubbard,CAR,15,250,1195.0,10,4.78,54,43,171.0,1,0.14937265,0.796,5.7,0.7733333333333333,13.24,16.11
14,Chase Brown,CIN,16,229,990.0,7,4.32,65,54,360.0,4,0.11445521,0.831,6.04,0.6275000000000001,12.56,15.94
15,James Conner,ARI,16,236,1094.0,8,4.64,55,47,414.0,1,0.114758626,0.855,10.28,0.60625,12.93,15.86
16,Breece Hall,NYJ,16,209,876.0,5,4.19,76,57,483.0,3,0.14129674,0.75,8.7,0.72375,11.49,15.06
17,David Montgomery,DET,15,192,803.0,12,4.18,38,36,341.0,0,0.090688474,0.947,10.14,0.4073333333333334,12.62,15.02
18,Bucky Irving,TB,18,224,1199.0,8,5.35,54,49,398.0,1,0.09816663,0.907,11.02,0.4577777777777778,11.76,14.48
19,Aaron Jones,MIN,18,268,1186.0,5,4.43,68,54,420.0,2,0.123298325,0.794,7.94,0.6372222222222222,10.92,13.92
20,J.K. Dobbins,LAC,14,204,931.0,9,4.56,39,32,153.0,0,0.10088221,0.821,6.38,0.6321428571428571,11.6,13.89
21,Rachaad White,TB,16,145,614.0,3,4.23,59,53,407.0,6,0.11328985,0.898,9.92,0.5547058823529412,9.38,12.69
22,D'Andre Swift,CHI,17,253,959.0,6,3.79,52,42,386.0,0,0.10742056,0.808,9.64,0.668235294117647,10.15,12.62
23,Tony Pollard,TEN,16,260,1079.0,5,4.15,57,41,238.0,0,0.13905226,0.719,5.39,0.678125,9.98,12.54
24,Rico Dowdle,DAL,16,235,1079.0,2,4.59,49,39,249.0,3,0.08399517,0.796,6.97,0.575,9.93,12.36
25,Christian McCaffrey,SF,4,50,202.0,0,4.04,19,15,146.0,0,0.17869264,0.789,6.53,0.7224999999999999,8.2,11.95
26,Michael Carter,ARI,3,35,131.0,1,3.74,11,11,57.0,0,0.11395275,1.0,6.64,0.6166666666666667,8.27,11.93
27,Najee Harris,PIT,18,269,1060.0,6,3.94,51,39,324.0,0,0.111934796,0.765,9.69,0.4977777777777778,9.69,11.86
28,Rhamondre Stevenson,NE,15,207,801.0,7,3.87,41,33,168.0,1,0.09772809,0.805,7.18,0.6153333333333334,9.53,11.73
29,Kareem Hunt,KC,16,228,845.0,9,3.71,35,26,189.0,0,0.07038803,0.743,8.88,0.498125,9.84,11.46
30,Brian Robinson,WAS,17,223,928.0,10,4.16,30,24,181.0,0,0.076403506,0.8,8.62,,9.82,11.23
31,Zach Charbonnet,SEA,17,135,569.0,8,4.21,52,42,308.0,1,0.10635505,0.808,8.21,0.5270588235294118,8.34,10.81
32,Tyrone Tracy,NYG,17,192,839.0,5,4.37,53,38,284.0,1,0.098014235,0.717,7.39,,8.49,10.72
33,Austin Ekeler,WAS,15,99,456.0,4,4.61,56,47,450.0,0,0.1247961,0.839,10.94,0.5166666666666667,7.51,10.64
34,Zack Moss,CIN,8,74,242.0,2,3.27,27,23,187.0,1,0.10509054,0.852,8.43,0.6175,7.36,10.24
35,Alexander Mattison,LV,14,132,420.0,4,3.18,48,36,294.0,1,0.11766585,0.75,8.72,0.4907142857142857,7.24,9.81
36,Ameer Abdullah,LV,13,66,311.0,2,4.71,47,40,261.0,3,0.09990651,0.851,6.3,0.369375,6.55,9.63
37,Jordan Mason,SF,12,153,789.0,3,5.16,14,11,91.0,0,0.061384387,0.786,5.36,0.48666666666666664,8.67,9.58
38,Jerome Ford,CLE,14,104,565.0,3,5.43,43,37,225.0,0,0.100346744,0.86,7.95,0.54,6.93,9.57
39,Tyjae Spears,TEN,12,84,312.0,4,3.71,35,30,224.0,1,0.11910981,0.857,8.5,0.4275,6.97,9.47
40,Javonte Williams,DEN,18,146,542.0,4,3.71,72,54,360.0,0,0.1254168,0.75,7.56,0.5338888888888889,6.12,9.12
41,Travis Etienne,JAX,15,150,558.0,2,3.72,52,39,254.0,0,0.11049373,0.75,7.59,0.5393333333333333,6.08,8.68
42,Justice Hill,BAL,17,59,290.0,1,4.92,57,48,403.0,4,0.1321528,0.842,9.75,0.41529411764705887,5.84,8.66
43,Tank Bigsby,JAX,15,168,766.0,7,4.56,12,7,54.0,0,0.044621367,0.583,9.14,0.36125,8.13,8.6
44,Jaylen Warren,PIT,16,122,517.0,1,4.24,52,42,329.0,0,0.122129224,0.808,8.17,0.455,5.54,8.16
45,Nick Chubb,CLE,8,102,332.0,3,3.25,11,5,31.0,1,0.03763163,0.455,6.2,0.4125,7.29,7.91
46,Isaac Guerendo,SF,13,84,420.0,4,5.0,16,15,152.0,0,0.094691336,0.938,7.13,0.229375,6.25,7.4
47,Miles Sanders,CAR,11,55,205.0,2,3.73,30,24,148.0,1,0.097160645,0.8,6.25,0.3336363636363636,4.85,7.03
48,Sincere McCormick,LV,4,39,183.0,0,4.69,7,6,29.0,0,0.06778712,0.857,4.83,0.26,5.3,6.8
49,Ray Davis,BUF,19,120,478.0,4,3.98,19,17,189.0,3,0.058956403,0.895,9.65,0.2225,5.72,6.62
50,Isiah Pacheco,KC,10,96,347.0,1,3.61,21,15,96.0,0,0.080122076,0.714,9.2,0.434,5.03,6.53
51,Roschon Johnson,CHI,12,55,150.0,6,2.73,20,16,104.0,0,0.09166796,0.8,6.0,0.2814285714285714,5.12,6.45
52,Devin Singletary,NYG,15,113,437.0,4,3.87,24,21,119.0,0,0.061069403,0.875,8.48,0.3893333333333333,5.04,6.44
53,Sean Tucker,TB,11,50,308.0,2,6.16,12,9,109.0,1,0.042382933,0.75,11.67,0.08722222222222223,5.43,6.25
54,Tyler Allgeier,ATL,17,137,644.0,3,4.7,13,13,88.0,0,0.04049295,1.0,7.15,0.24941176470588236,5.48,6.25
