team,position,avg_pts_allowed,sos_rank
ARI,CB,2.8,3
ARI,FB,6.033333,2
ARI,QB,16.441177,3
ARI,RB,9.048838,15
ARI,TE,4.7457147,31
ARI,WR,7.9927535,25
ATL,CB,-0.1,6
ATL,FB,1.7000002,18
ATL,P,0.06,6
ATL,QB,17.862106,1
ATL,RB,8.404651,23
ATL,TE,6.22353,16
ATL,WR,9.910313,2
BAL,FB,3.0,11
BAL,G,1.0,2
BAL,QB,13.7128,16
BAL,RB,7.391837,28
BAL,TE,5.8692307,22
BAL,WR,8.690769,13
BUF,FB,-0.9499999,30
BUF,FS,0.2,4
BUF,G,1.5,1
BUF,P,0.6,5
BUF,QB,13.1407995,21
BUF,RB,9.429412,9
BUF,T,7.9,1
BUF,TE,5.8261905,23
BUF,WR,8.2625,21
CAR,FB,1.9,14
CAR,P,0.61,4
CAR,QB,15.125217,9
CAR,RB,12.161904,1
CAR,TE,7.423529,3
CAR,WR,8.873031,11
CHI,CB,6.0,1
CHI,FB,0.65,26
CHI,QB,10.189091,32
CHI,RB,9.284782,11
CHI,SS,6.0,1
CHI,T,0.0,5
CHI,TE,6.509375,13
CHI,WR,7.456061,29
CIN,FB,1.5,20
CIN,P,0.0,7
CIN,QB,14.601818,12
CIN,RB,8.531818,21
CIN,T,7.1,3
CIN,TE,8.077144,2
CIN,WR,7.8147063,28
CLE,FB,4.1,7
CLE,FS,6.0,1
CLE,QB,12.96087,24
CLE,RB,7.3744187,29
CLE,TE,6.1057897,19
CLE,WR,9.26,8
DAL,FB,0.85,23
DAL,QB,15.439131,6
DAL,RB,9.144186,14
DAL,T,0.0,5
DAL,TE,5.667742,26
DAL,WR,9.286364,6
DEN,FB,4.65,5
DEN,MLB,4.4,1
DEN,P,0.68,2
DEN,QB,11.708,30
DEN,RB,8.6,20
DEN,SS,0.0,6
DEN,TE,5.6842103,24
DEN,WR,7.9847226,26
DET,FB,7.9,1
DET,QB,15.358095,8
DET,RB,9.271052,13
DET,TE,4.914706,28
DET,WR,9.585714,3
GB,FB,3.1333332,10
GB,QB,13.473684,18
GB,RB,9.280952,12
GB,TE,6.2189193,17
GB,WR,8.198484,22
HOU,FS,1.4,3
HOU,P,-0.82,10
HOU,QB,13.309565,19
HOU,RB,6.87551,31
HOU,TE,5.675,25
HOU,WR,8.337333,18
IND,FB,1.4,21
IND,QB,15.421053,7
IND,RB,8.815217,18
IND,TE,6.910811,6
IND,WR,8.387941,17
JAX,FB,0.9,22
JAX,QB,15.506364,5
JAX,RB,10.068889,5
JAX,SS,2.1,2
JAX,TE,6.0526314,20
JAX,WR,8.858592,12
KC,FB,0.85,23
KC,QB,14.0488,13
KC,RB,7.012245,30
KC,TE,7.2236843,4
KC,WR,8.43375,16
LA,CB,0.5,4
LA,FB,1.7,19
LA,QB,14.898182,11
LA,RB,10.02439,6
LA,T,7.4,2
LA,TE,8.122222,1
LA,WR,9.264063,7
LAC,FB,5.45,3
LAC,QB,13.047273,23
LAC,RB,7.5613637,27
LAC,TE,4.8380003,29
LAC,WR,9.05303,10
LV,FB,0.71999997,25
LV,QB,16.769999,2
LV,RB,8.771428,19
LV,TE,6.761539,9
LV,WR,8.332307,19
MIA,FB,3.6,9
MIA,QB,12.355789,26
MIA,RB,8.929269,16
MIA,TE,6.5499997,11
MIA,WR,7.326761,30
MIN,FB,4.9,4
MIN,OLB,0.1,1
MIN,QB,13.1050005,22
MIN,RB,8.514634,22
MIN,SS,0.2,4
MIN,TE,6.2485714,14
MIN,WR,9.9185915,1
NE,FB,2.9666665,12
NE,P,0.0,7
NE,QB,13.193334,20
NE,RB,9.936585,7
NE,TE,5.8911767,21
NE,WR,8.6640625,14
NO,FB,1.9,14
NO,P,0.0,7
NO,QB,12.327273,27
NO,RB,9.672092,8
NO,TE,6.203226,18
NO,WR,8.458904,15
NYG,FB,1.9,14
NYG,QB,13.86,14
NYG,RB,10.4775,3
NYG,TE,4.7727275,30
NYG,WR,8.302899,20
NYJ,FB,3.7400002,8
NYJ,QB,12.000869,29
NYJ,RB,7.8166666,24
NYJ,TE,4.9675674,27
NYJ,WR,8.1,24
PHI,FB,0.55,27
PHI,P,0.92,1
PHI,QB,12.179231,28
PHI,RB,6.4607844,32
PHI,SS,1.0,3
PHI,TE,6.5171432,12
PHI,WR,7.286021,31
PIT,FB,2.0,13
PIT,QB,13.702001,17
PIT,RB,8.832558,17
PIT,TE,6.7763157,8
PIT,WR,8.197183,23
SEA,FB,4.28,6
SEA,QB,13.786,15
SEA,RB,7.7630434,26
SEA,TE,6.7413793,10
SEA,WR,9.155238,9
SF,CB,6.0,1
SF,FB,0.2,28
SF,QB,12.697142,25
SF,RB,10.319048,4
SF,SS,0.1,5
SF,TE,6.2428575,15
SF,WR,7.8865676,27
TB,FB,0.0,29
TB,ILB,6.0,1
TB,P,0.68,2
TB,QB,16.354546,4
TB,RB,7.8022223,25
TB,TE,6.861111,7
TB,WR,9.329577,5
TEN,DE,7.2,1
TEN,QB,14.948421,10
TEN,RB,9.38,10
TEN,TE,4.0552635,32
TEN,WR,6.9575343,32
WAS,CB,0.0,5
WAS,FB,1.75,17
WAS,FS,6.0,1
WAS,QB,11.464999,31
WAS,RB,10.88409,2
WAS,SS,0.0,6
WAS,T,1.0,4
WAS,TE,7.028125,5
WAS,WR,9.373043,4
