rank,player_display_name,recent_team,games,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,avg_snap_pct,fppg,fppg_ppr
1,George Kittle,SF,15,94,78,1106.0,8,0.20740293,0.20494045,0.4545627,1.4912612,8.51,0.83,11.77,0.866,10.57,15.77
2,Brock Bowers,LV,17,153,112,1194.0,5,0.2553618,0.23186089,0.5453453,1.3838885,6.03,0.732,7.8,0.8494117647058823,8.86,15.45
3,Trey McBride,ARI,16,147,111,1146.0,2,0.28644907,0.26641583,0.6161647,1.3704927,6.14,0.755,7.8,0.898125,8.3,15.24
4,David Njoku,CLE,11,97,64,505.0,5,0.2272459,0.14967912,0.44564426,1.311316,5.26,0.66,5.21,0.7490909090909091,7.68,13.5
5,Jonnu Smith,MIA,17,111,88,884.0,8,0.19332588,0.14788732,0.39350992,2.9740837,4.88,0.793,7.96,0.5488235294117647,7.9,13.08
6,Taysom Hill,NO,8,31,23,187.0,0,0.15601398,0.06886058,0.2822234,1.4361904,3.48,0.742,6.03,0.425,9.92,12.79
7,Travis Kelce,KC,19,151,110,998.0,4,0.23237908,0.24688347,0.52138704,0.9963964,6.62,0.728,6.61,0.8505263157894737,6.42,12.21
8,Sam LaPorta,DET,17,90,66,777.0,8,0.17540848,0.17228499,0.3837122,2.3150446,6.77,0.733,8.63,0.8558823529411765,7.39,11.28
9,Tyler Higbee,LA,5,27,20,178.0,3,0.1613973,0.081827596,0.29937524,2.124762,3.07,0.741,6.59,0.40599999999999997,7.16,11.16
10,Zach Ertz,WAS,20,116,84,809.0,8,0.18372916,0.18596093,0.4057664,1.0955471,7.39,0.724,6.97,0.674,6.64,10.84
11,Mark Andrews,BAL,19,79,62,761.0,11,0.1569181,0.183422,0.36377254,1.0657332,10.28,0.785,9.63,0.6152631578947368,7.44,10.71
12,Dallas Goedert,PHI,14,72,59,711.0,3,0.20584615,0.18140538,0.43575293,1.2696054,6.36,0.819,9.88,0.7164285714285714,6.46,10.67
