team,pass_attempts,rush_attempts,total_plays,pass_rate,run_rate
CIN,652,380,1032,0.632,0.368
CLE,661,391,1052,0.628,0.372
NYJ,607,363,970,0.626,0.374
LV,635,380,1015,0.626,0.374
SEA,593,383,976,0.608,0.392
DAL,637,429,1066,0.598,0.402
NYG,591,424,1015,0.582,0.418
CAR,547,410,957,0.572,0.428
KC,683,518,1201,0.569,0.431
JAX,546,414,960,0.569,0.431
MIA,591,448,1039,0.569,0.431
CHI,566,431,997,0.568,0.432
LA,630,493,1123,0.561,0.439
HOU,631,497,1128,0.559,0.441
DEN,593,478,1071,0.554,0.446
NO,551,444,995,0.554,0.446
MIN,588,479,1067,0.551,0.449
NE,529,446,975,0.543,0.457
TEN,530,450,980,0.541,0.459
ARI,543,463,1006,0.54,0.46
SF,533,457,990,0.538,0.462
TB,589,508,1097,0.537,0.463
LAC,542,481,1023,0.53,0.47
ATL,559,495,1054,0.53,0.47
DET,594,557,1151,0.516,0.484
IND,513,496,1009,0.508,0.492
WAS,640,626,1266,0.506,0.494
BUF,602,603,1205,0.5,0.5
PIT,529,544,1073,0.493,0.507
GB,512,551,1063,0.482,0.518
BAL,523,634,1157,0.452,0.548
PHI,540,770,1310,0.412,0.588
