rank,player_display_name,recent_team,games,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,fppg,fppg_ppr
1,Ja'Marr Chase,CIN,17,175,127,1708.0,17,0.2723131,0.32667574,0.63714266,1.2169496,8.72,0.726,9.76,6.2,0.9229411764705882,16.24,23.71
2,Rashee Rice,KC,3,29,24,288.0,2,0.32769728,0.37337604,0.7529091,1.9077841,5.21,0.828,9.93,7.75,0.6025,13.63,21.63
3,Chris Godwin,TB,7,62,50,576.0,5,0.28165284,0.2962417,0.6298484,1.7208265,5.74,0.806,9.29,7.0,0.87,12.54,19.69
4,Amon-Ra St. Brown,DET,18,151,123,1400.0,12,0.26667872,0.30568275,0.613996,1.2626334,7.75,0.815,9.27,3.85,0.8872222222222222,11.94,18.77
5,Tee Higgins,CIN,12,109,73,911.0,10,0.2610053,0.34545982,0.63332987,0.89258546,9.79,0.67,8.36,3.12,0.7908333333333334,12.43,18.51
6,Justin Jefferson,MIN,18,162,108,1591.0,10,0.29509214,0.37875527,0.70776683,0.95263875,11.3,0.667,9.82,4.61,0.931111111111111,12.24,18.24
7,Malik Nabers,NYG,15,170,109,1204.0,7,0.35704067,0.46515116,0.8611668,0.8644495,9.46,0.641,7.08,4.24,0.906,10.97,18.24
8,Puka Nacua,LA,13,129,90,1131.0,3,0.32595003,0.3064113,0.70341295,2.4920373,8.11,0.698,8.77,6.41,0.7238461538461538,10.95,17.88
9,Davante Adams,NYJ,11,114,67,854.0,7,0.3078814,0.35075095,0.7073478,1.3526444,7.98,0.588,7.49,6.39,0.9081818181818182,11.76,17.85
10,Nico Collins,HOU,14,115,80,1209.0,8,0.24859858,0.34882575,0.6170759,0.9785761,11.28,0.696,10.51,5.4,0.6892857142857143,12.06,17.78
11,CeeDee Lamb,DAL,15,152,101,1194.0,6,0.2824527,0.30215693,0.63518894,1.0690936,7.83,0.664,7.86,5.32,0.8019999999999999,10.83,17.56
12,Mike Evans,TB,15,117,81,1096.0,12,0.26117837,0.4063817,0.6762348,0.84300905,11.43,0.692,9.37,3.15,0.722,12.11,17.51
13,Brian Thomas,JAX,17,133,87,1282.0,10,0.25452065,0.36976302,0.64061505,0.94925153,11.59,0.654,9.64,6.46,0.7935294117647059,11.59,16.71
14,Drake London,ATL,17,158,100,1271.0,9,0.28239173,0.3690694,0.68193614,0.83013237,10.91,0.633,8.04,3.27,0.8970588235294118,10.64,16.52
15,Ladd McConkey,LAC,17,126,91,1346.0,8,0.25690505,0.31579536,0.6064143,1.1356775,10.51,0.722,10.68,5.15,0.7411764705882353,10.86,16.21
16,Terry McLaurin,WAS,20,140,96,1323.0,16,0.23145278,0.38079402,0.61373496,1.80216,12.64,0.686,9.45,4.4,0.8125,11.32,16.12
17,Stefon Diggs,HOU,8,64,47,496.0,3,0.24408211,0.29353276,0.5715961,1.2049397,8.69,0.734,7.75,3.94,0.7837500000000001,9.36,15.24
18,A.J. Brown,PHI,17,120,79,1242.0,9,0.32168055,0.5164889,0.8440631,0.8563953,12.36,0.658,10.35,5.08,0.878235294117647,10.48,15.13
19,Davante Adams,LV,3,27,18,209.0,1,0.2505342,0.41358033,0.6653075,0.80799764,9.7,0.667,7.74,2.5,0.9533333333333333,8.97,14.97
20,Jaxon Smith-Njigba,SEA,17,137,100,1130.0,6,0.23754174,0.29345492,0.56173104,1.5013168,8.66,0.73,8.25,4.77,0.8641176470588235,9.0,14.88
21,Courtland Sutton,DEN,17,144,86,1156.0,8,0.26700187,0.48679566,0.74125975,0.6360963,13.5,0.597,8.03,2.22,0.8594444444444445,9.81,14.87
22,Garrett Wilson,NYJ,17,153,101,1104.0,7,0.25846568,0.35452235,0.63586414,0.99568456,9.01,0.66,7.22,4.38,0.9629411764705883,8.88,14.82
23,Jakobi Meyers,LV,15,129,87,1027.0,4,0.2515575,0.33762646,0.61367476,0.88898504,9.93,0.674,7.96,3.37,0.9166666666666666,8.73,14.53
24,Jerry Jeudy,CLE,17,145,90,1229.0,4,0.22645071,0.33442187,0.57377136,0.7274842,11.11,0.621,8.48,4.3,0.8970588235294118,8.88,14.17
25,DeVonta Smith,PHI,17,106,84,1023.0,9,0.26149043,0.2884347,0.59413993,1.1158586,8.87,0.792,9.65,4.33,0.8770588235294118,9.2,14.14
26,Jameson Williams,DET,16,95,59,1020.0,7,0.18155569,0.319212,0.4957819,1.1092384,12.08,0.621,10.74,8.42,0.800625,10.39,14.07
27,Jauan Jennings,SF,15,113,77,975.0,6,0.25201762,0.30846855,0.59395444,0.8692852,9.9,0.681,8.63,3.09,0.744,8.9,14.03
28,D.J. Moore,CHI,17,140,98,966.0,6,0.27091306,0.2614777,0.589404,2.404069,7.49,0.7,6.9,6.0,0.9382352941176471,8.24,14.01
29,Adam Thielen,CAR,10,62,48,615.0,5,0.20403138,0.2622009,0.4895877,0.9450611,11.16,0.774,9.92,3.17,0.708,9.15,13.95
30,Jordan Addison,MIN,16,107,66,904.0,9,0.21125165,0.31131673,0.53479916,0.6974619,13.44,0.617,8.45,3.23,0.82375,9.52,13.65
31,Rashid Shaheed,NO,6,41,20,349.0,3,0.24390124,0.50001407,0.71586174,0.60744244,17.59,0.488,8.51,5.3,0.7566666666666667,10.3,13.63
32,Cooper Kupp,LA,14,108,73,800.0,6,0.22763224,0.2540681,0.51929605,0.9138364,8.2,0.676,7.41,3.84,0.8064285714285714,8.36,13.57
33,Xavier Worthy,KC,19,119,78,925.0,9,0.19139165,0.26307204,0.4712379,1.679019,9.02,0.655,7.77,6.65,0.6725,9.25,13.35
34,Josh Downs,IND,14,107,72,803.0,5,0.26053417,0.16525055,0.50647664,0.95372856,6.86,0.673,7.5,5.5,0.6442857142857142,7.87,13.01
35,Tyreek Hill,MIA,17,122,81,959.0,6,0.21664381,0.39688957,0.60278845,0.735674,11.22,0.664,7.86,3.6,0.7988235294117647,8.07,12.84
36,DK Metcalf,SEA,15,108,66,992.0,5,0.20823957,0.4120515,0.6007954,0.73451245,13.71,0.611,9.19,3.98,,8.35,12.75
37,Zay Flowers,BAL,17,116,74,1059.0,4,0.25424853,0.27054673,0.57075554,1.0386443,10.41,0.638,9.13,6.26,0.7464705882352941,7.97,12.32
38,Keenan Allen,CHI,15,121,70,744.0,7,0.26502103,0.31850994,0.62048846,0.87590224,9.21,0.579,6.15,3.43,0.868,7.63,12.29
39,George Pickens,PIT,15,108,64,987.0,4,0.26237586,0.46266204,0.7174272,0.7062694,13.68,0.593,9.14,3.69,0.8006666666666666,8.01,12.27
40,Khalil Shakir,BUF,18,120,94,995.0,4,0.23591225,0.16033699,0.46610424,2.538474,5.42,0.783,8.29,7.4,0.6211111111111111,6.88,12.11
41,Darnell Mooney,ATL,16,106,64,992.0,5,0.20557398,0.32808062,0.5380174,0.8908061,12.21,0.604,9.36,4.3,0.9275,8.07,12.07
42,Diontae Johnson,CAR,7,58,30,357.0,3,0.25280046,0.42828515,0.6790003,0.55687195,9.83,0.517,6.16,2.87,0.7999999999999999,7.76,12.04
43,Calvin Ridley,TEN,17,120,64,1017.0,4,0.23806813,0.43295926,0.66017365,0.53056604,15.69,0.533,8.48,3.61,0.8129411764705883,7.95,11.72
44,Marvin Harrison,ARI,17,116,62,885.0,8,0.22580168,0.4266521,0.63735896,0.5767716,13.5,0.534,7.63,2.39,,7.91,11.56
45,Jayden Reed,GB,18,79,59,903.0,6,0.15957256,0.1410719,0.33810917,1.8340015,8.94,0.747,11.43,6.78,0.6272222222222221,8.14,11.42
46,Rashod Bateman,BAL,18,79,51,846.0,11,0.1668101,0.2798897,0.4461379,0.8607591,13.67,0.646,10.71,3.86,0.6763157894736842,8.37,11.2
47,Deebo Samuel,SF,14,81,51,670.0,3,0.201858,0.15861438,0.41381708,1.5238274,6.8,0.63,8.27,8.25,0.7313333333333334,7.47,11.11
48,Quentin Johnston,LAC,16,96,55,711.0,8,0.20604987,0.26268756,0.4929561,0.7067505,11.17,0.573,7.41,5.56,0.71625,7.48,10.92
49,Wan'Dale Robinson,NYG,17,140,93,699.0,3,0.25093454,0.17293318,0.49745503,1.3425454,4.69,0.664,4.99,3.88,0.7594117647058823,5.28,10.75
50,Allen Lazard,NYJ,12,61,37,530.0,6,0.1421827,0.24494733,0.38473716,1.1495303,11.25,0.607,8.69,4.19,0.8433333333333333,7.42,10.5
51,Nick Westbrook-Ikhine,TEN,13,60,32,497.0,9,0.15387693,0.20352158,0.37328053,0.68792593,11.67,0.533,8.28,3.88,0.6994117647058824,7.98,10.44
